Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	AverageEpRet_2	StdEpRet_2	MaxEpRet_2	MinEpRet_2	EpLen_2	AverageVVals_2	StdVVals_2	MaxVVals_2	MinVVals_2	LossPi_2	LossV_2	DeltaLossPi_2	DeltaLossV_2	Entropy_2	KL_2	ClipFrac_2	StopIter	Time
0	-252.96997	107.03715	-135.43692	-373.31815	1000.0	-0.029622043	0.019069152	0.012190141	-0.07028237	4000	2.9981138e-08	707.3648	-0.0013511356	-325.1897	0.9189385	0.0013245904	0.0195	252.96997	107.03715	373.31815	135.43692	1000.0	0.09888248	0.01688946	0.13644284	0.059651196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	6.191215515136719
1	-335.3949	173.32196	-104.179344	-567.6666	1000.0	-9.391772	0.06701199	-9.232605	-9.523565	8000	-2.1457671e-09	1011.9504	-0.00035997556	-193.18188	0.94076073	0.0016056147	0.00525	335.3949	173.32196	567.6666	104.179344	1000.0	0.09839453	0.01746434	0.13379654	0.058376126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	12.373945236206055
2	-238.64914	235.51566	-77.27082	-644.1537	1000.0	-14.831275	0.00711472	-14.804235	-14.844906	12000	1.26361845e-08	994.1547	-0.0010482273	-58.058533	0.93685246	0.002275349	0.01675	238.64914	235.51566	644.1537	77.27082	1000.0	0.09751912	0.014203653	0.13200018	0.050212428	1.0043383e-08	1423.1406	-0.002092124	-307.6936	0.9189385	0.0022716154	0.0225	79.0	20.026759147644043
3	-213.62367	173.65956	-94.21727	-512.97516	1000.0	-19.460918	0.00038890983	-19.459621	-19.461525	16000	-5.4836273e-09	366.1566	-0.001500193	-2.630371	0.9204942	0.0022126327	0.01375	213.62367	173.65956	512.97516	94.21727	1000.0	9.064902	0.03858846	9.142391	8.957579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	26.426979780197144
4	-286.42426	97.03635	-182.99512	-438.7931	1000.0	-21.055279	1.8560422e-05	-21.055216	-21.055302	20000	7.1525574e-10	466.6206	-0.0011669145	-46.832855	0.93351275	0.0026917125	0.02025	286.42426	97.03635	438.7931	182.99512	1000.0	9.06312	0.04249847	9.1262	8.955135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	32.19171071052551
5	-1061.5598	213.67383	-871.7261	-1392.531	838.75	-25.552435	4.7045246e-06	-25.552425	-25.55244	24000	3.695488e-09	9921.502	-0.0027479397	-823.79395	0.9560612	0.006995824	0.041	1061.5598	213.67383	1392.531	871.7261	838.75	9.032527	0.091714166	9.171411	8.820547	8.511543e-08	12822.374	-0.0032923787	-1071.085	0.91461664	-0.00033327987	0.03025	79.0	40.14965271949768
6	-646.40344	254.779	-214.1472	-874.1452	1000.0	-30.701378	3.8146973e-06	-30.701374	-30.701374	28000	-1.5825034e-08	3039.2166	-0.0014538926	-289.42358	0.9704906	0.0038792782	0.0335	646.40344	254.779	874.1452	214.1472	1000.0	14.673195	0.0065393946	14.682824	14.657745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	45.77852964401245
7	-1287.7189	393.82648	-880.25244	-1929.947	1000.0	-35.7609	0.0	-35.7609	-35.7609	32000	3.409386e-08	15455.346	-0.002223033	-925.18555	0.98976314	0.0038310923	0.02525	1287.7189	393.82648	1929.947	880.25244	1000.0	14.669989	0.010287397	14.685007	14.646235	-6.222725e-08	19369.793	-0.0011710138	-1126.6055	0.8944272	5.5388122e-05	0.0165	79.0	53.5323646068573
8	-822.7422	328.03857	-308.13577	-1131.746	842.25	-40.915337	7.791e-06	-40.91532	-40.91533	36000	-1.5676022e-08	6410.364	-0.0020518117	-486.9292	0.984788	0.0037220756	0.022	822.7422	328.03857	1131.746	308.13577	842.25	19.858423	0.0007721964	19.859123	19.853668	-1.5854836e-08	8851.067	-0.0012752229	-687.1162	0.8986329	0.0004630568	0.005	79.0	60.27066421508789
9	-410.34415	285.68082	-226.81316	-904.2534	1000.0	-46.030056	3.8146973e-06	-46.03006	-46.03006	40000	7.152557e-09	1283.5948	-0.002480801	-5.9521484	0.9909649	0.001009279	0.0225	410.34415	285.68082	904.2534	226.81316	1000.0	24.998325	1.2362577e-05	24.998343	24.99829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	66.80205392837524
