Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	AverageEpRet_2	StdEpRet_2	MaxEpRet_2	MinEpRet_2	EpLen_2	AverageVVals_2	StdVVals_2	MaxVVals_2	MinVVals_2	LossPi_2	LossV_2	DeltaLossPi_2	DeltaLossV_2	Entropy_2	KL_2	ClipFrac_2	StopIter	Time
0	-106.54494	87.94748	-17.281687	-219.22525	1000.0	-0.02850799	0.0121790785	0.00046168268	-0.059250593	4000	5.066395e-09	164.79413	-0.0022760406	-80.534195	0.9189385	0.0022724501	0.02125	106.54494	87.94748	219.22525	17.281687	1000.0	0.099738784	0.010747985	0.12692156	0.0722048	0.000317219	165.91675	0.0033582663	212.80072	0.9189385	0.003044671	0.0285	79.0	8.067987442016602
1	-488.75677	237.44139	-114.220276	-723.31793	1000.0	-8.124047	0.105794154	-7.8637905	-8.280328	8000	-4.3034554e-08	2151.5725	-0.0012992162	-561.63306	0.9393243	0.0041639525	0.024	488.75677	237.44139	723.31793	114.220276	1000.0	0.09643912	0.020382283	0.13629413	0.05814234	0.010888543	3527.75	0.015206452	1007.105	0.9393243	0.019870913	0.23875	0.0	14.478318929672241
2	-687.4785	238.02046	-370.10782	-1018.43506	1000.0	-17.137726	0.013362787	-17.093416	-17.15455	12000	-1.45435335e-08	3759.2769	-0.00016698266	-662.0718	0.95036775	0.0035739853	0.0025	687.4785	238.02046	1018.43506	370.10782	1000.0	0.09813477	0.021629607	0.14092456	0.0467858	0.03553856	7960.926	-0.0015750229	1296.0938	0.95036775	0.022042911	0.30825	0.0	23.113380432128906
3	-367.99173	363.6129	-25.125349	-894.25085	1000.0	-24.910738	0.0054023378	-24.89074	-24.917288	16000	-4.6491624e-09	2085.5554	-0.002060164	-58.700928	0.94885737	0.0019401078	0.01825	367.99173	363.6129	894.25085	25.125349	1000.0	0.09504771	0.016939316	0.13210025	0.050143406	0.03891923	5602.0845	0.0027710833	317.55176	0.94885737	0.024857372	0.1815	0.0	30.244327068328857
4	-221.85391	183.51349	-52.435596	-496.2641	1000.0	-27.496838	0.0021639634	-27.4895	-27.500689	20000	-2.1457673e-08	428.91486	-0.0005574622	-9.887756	0.91916466	0.00117421	0.00675	221.85391	183.51349	496.2641	52.435596	1000.0	0.097142726	0.012443739	0.12651438	0.06686704	0.019165684	2534.4246	0.002419766	-79.11792	0.91916466	0.01936267	0.18875	0.0	37.20625424385071
5	-200.49657	91.55294	-85.4566	-305.3597	1000.0	-26.629663	0.0021458152	-26.622025	-26.632639	24000	-2.503395e-08	392.26938	-0.00047286128	-19.8656	0.91987896	0.00071878475	0.0065	200.49657	91.55294	305.3597	85.4566	1000.0	0.09671597	0.010969386	0.12994106	0.07081909	0.025294643	2250.9995	0.000568958	-128.48901	0.91987896	0.025995234	0.19025	0.0	44.77417016029358
6	-159.5218	109.58754	-20.214449	-293.0301	1000.0	-25.117144	0.0018274733	-25.110031	-25.119968	28000	2.7775764e-08	358.6778	-0.00116896	-36.206055	0.9152442	0.00094867795	0.011	159.5218	109.58754	293.0301	20.214449	1000.0	0.097201236	0.01081038	0.13305722	0.07231702	0.026613612	1736.5929	-0.007737832	-157.23865	0.9152442	0.016339352	0.1625	0.0	51.273319482803345
7	-125.30885	104.76191	-34.93451	-301.87344	1000.0	-22.99356	0.0014713061	-22.984705	-22.99571	32000	-2.1219254e-08	364.93265	-0.0024088125	-53.645325	0.92965144	0.0021715893	0.0215	125.30885	104.76191	301.87344	34.93451	1000.0	0.095366865	0.0074820183	0.12427126	0.0723144	0.013425379	1283.204	-0.005531569	-166.51697	0.92965144	0.00810709	0.09525	79.0	59.50379014015198
8	-107.11321	28.534771	-67.38008	-136.26675	1000.0	-20.303812	0.0015360434	-20.298727	-20.307814	36000	-2.4795533e-08	195.70612	-0.0018773427	-54.90416	0.95948046	0.0041043237	0.03625	107.11321	28.534771	136.26675	67.38008	1000.0	0.10027651	0.010900034	0.13014892	0.08187869	0.0063203857	820.1299	0.0036695502	-146.74121	0.95948046	0.010471672	0.14075	79.0	66.41995167732239
9	-207.73604	122.70692	-78.04295	-388.31412	1000.0	-17.478071	0.0023969933	-17.469885	-17.481495	40000	1.2040139e-08	346.7315	-0.0019600117	-0.24685669	0.9705975	0.0012347	0.0295	207.73604	122.70692	388.31412	78.04295	1000.0	0.09444876	0.009790268	0.13166595	0.06755785	0.021569306	1556.3219	0.002257876	6.822632	0.9705975	0.03162257	0.29125	0.0	73.97039461135864
10	-203.1905	66.21887	-116.22873	-297.2587	1000.0	-17.576452	0.0017556325	-17.570492	-17.581598	44000	2.5272369e-08	168.9669	-0.0026752364	-1.9146576	0.960559	0.0033047055	0.0105	203.1905	66.21887	297.2587	116.22873	1000.0	0.09480419	0.0091476105	0.124806315	0.06950333	0.017752668	1438.3944	-0.0059716273	40.045044	0.960559	0.019256558	0.24025	0.0	80.3555052280426
11	-116.73505	37.915936	-76.88466	-169.68846	1000.0	-18.137587	0.001221233	-18.132114	-18.139881	48000	2.5212765e-08	98.81044	-0.0008322412	-20.265465	0.93975914	0.0033682843	0.014	116.73505	37.915936	169.68846	76.88466	1000.0	0.09466218	0.006953298	0.13004884	0.072328225	0.013274079	832.12585	0.007722378	-96.46106	0.93975914	0.033405975	0.35575	0.0	87.79029703140259
12	-218.37901	28.800276	-168.6519	-238.6294	1000.0	-16.348717	0.0018581405	-16.342972	-16.354712	52000	2.360344e-08	136.58418	-0.0033638347	-8.338593	0.94053626	0.0038129797	0.0275	218.37901	28.800276	238.6294	168.6519	1000.0	0.09654661	0.010704274	0.13573442	0.07754149	0.02374765	1390.546	-0.0013780054	80.06348	0.94053626	0.023968808	0.24175	0.0	94.61813306808472
13	-174.62683	61.069374	-107.46451	-273.98987	1000.0	-17.461113	0.0016240302	-17.455015	-17.464998	56000	2.5391579e-08	94.58635	-0.0035307333	-0.24105835	0.97022057	0.0057302313	0.031	174.62683	61.069374	273.98987	107.46451	1000.0	0.09522026	0.009655406	0.122397855	0.06117013	0.0139500145	1250.8137	-0.007924546	19.140625	0.97022057	0.01642369	0.1415	0.0	101.86669087409973
