Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-171.39227	101.61974	-69.59017	-299.8628	1000.0	-0.02783142	0.014695439	0.008935317	-0.060371265	4000	-1.2403727e-07	404.65097	-0.0012040496	-192.17715	0.9189385	0.0029888682	0.02325	79.0	21.936742782592773
1	-242.81885	118.43376	-87.70405	-415.0414	1000.0	-9.119783	0.049610417	-8.9633045	-9.220533	8000	2.2530555e-08	397.0548	-0.0015105839	-99.709564	0.9382686	0.0018311507	0.015	79.0	27.682607889175415
2	-191.32674	111.28904	-41.62425	-348.53806	1000.0	-15.107702	0.020875083	-15.03662	-15.146671	12000	2.7418137e-09	189.38284	-0.0019492963	-1.1478119	0.9339799	0.0021611727	0.02275	79.0	34.38955283164978
3	-95.97857	60.535267	-30.612518	-192.76743	1000.0	-15.9608555	0.014323549	-15.92428	-15.995094	16000	-7.390976e-09	107.47318	-0.0023769923	-29.65287	0.9456557	0.0012883976	0.0195	79.0	37.38693189620972
4	-250.1324	152.90085	-96.046135	-503.51456	1000.0	-12.398469	0.03642101	-12.309172	-12.467579	20000	6.9141386e-09	419.77032	-0.0019792723	-90.68179	0.9419527	0.002421017	0.02925	79.0	41.5961709022522
5	-210.52394	134.08678	-60.585415	-387.3674	1000.0	-18.352842	0.014380043	-18.31206	-18.374914	24000	2.7894973e-08	208.06683	-0.001474489	-3.7912903	0.9386083	0.0022876814	0.01325	79.0	46.287208795547485
6	-511.1792	466.1057	-47.683796	-1203.1971	1000.0	-19.790182	0.024714887	-19.709606	-19.82556	28000	1.4305114e-08	3512.3887	-0.0016358303	-574.2383	0.9167549	0.0031150838	0.03075	79.0	51.160693883895874
7	-408.89594	390.90842	-160.28372	-1085.4897	1000.0	-31.834328	0.0048372936	-31.8146	-31.841473	32000	7.1525574e-10	1706.4945	-0.002615209	-53.489502	0.945794	0.0042027873	0.022	79.0	58.512194871902466
8	-398.2995	145.36375	-202.59196	-586.0016	1000.0	-35.698364	0.0044211335	-35.68597	-35.70441	36000	6.4074994e-09	444.852	-0.0022648927	-4.918976	0.94541156	0.00295994	0.0265	79.0	62.944063901901245
9	-98.66477	36.266094	-36.308075	-126.367195	1000.0	-36.904404	0.0018105342	-36.897785	-36.90731	40000	1.8537044e-07	737.70575	-0.0051074442	-373.48825	0.94410414	0.004577527	0.0315	79.0	66.73870205879211
10	-156.78294	40.96586	-96.715225	-197.55472	1000.0	-28.093616	0.002650951	-28.086576	-28.098671	44000	2.9325486e-08	212.35307	-0.00055029965	-87.239716	0.96948814	0.0007652438	0.00125	79.0	69.6510078907013
11	-149.26208	105.67032	-57.452785	-323.04553	1000.0	-23.54438	0.0037940515	-23.529957	-23.55046	48000	1.4305114e-08	308.43576	-0.0052627595	-46.32303	0.95946586	0.0033814355	0.027	79.0	72.2273018360138
12	-165.99522	101.95001	-55.09926	-285.88528	1000.0	-20.27934	0.005547202	-20.261372	-20.290897	52000	-3.039837e-08	264.31033	-0.006222304	-13.154251	0.9766046	0.0063458155	0.03925	79.0	74.60122179985046
13	-65.10734	31.100386	-21.24507	-98.46464	1000.0	-18.453909	0.0041467394	-18.442831	-18.46411	56000	-5.1170588e-08	152.34244	-0.0022259776	-76.858795	1.0061381	0.002373287	0.0165	79.0	76.96162390708923
14	-77.6449	17.92086	-55.419903	-97.39633	1000.0	-14.1249	0.0134017775	-14.085698	-14.151674	60000	-3.2901763e-08	87.49767	-0.0018747664	-56.821342	1.0095509	0.003716031	0.01825	79.0	79.51362085342407
15	-98.38031	75.27638	-8.304289	-195.73328	1000.0	-6.6484995	0.12436548	-6.2431817	-7.00075	64000	-7.629395e-09	90.06539	-0.00083852635	-0.7965393	0.9979278	0.005158289	0.01475	79.0	82.33294987678528
16	-41.879616	36.663612	-18.923605	-105.34577	1000.0	-7.5049715	0.04668219	-7.3376026	-7.6107087	68000	-7.3313715e-09	34.27689	-0.0030214745	-15.211971	0.98914737	0.0022822341	0.02075	79.0	89.59476971626282
17	-64.1445	36.753014	-29.313347	-117.28044	1000.0	-3.6239955	0.11004701	-3.279952	-3.9725876	72000	4.529953e-09	30.183807	-0.0011852719	-2.4034767	1.0183324	0.0028443	0.0125	79.0	94.22289896011353
18	-55.275387	14.466105	-40.952072	-78.75691	1000.0	-4.9012384	0.16146488	-4.3017297	-5.3035936	76000	-5.4836273e-09	20.564777	-0.001469137	-1.5916004	1.0195615	0.0013434867	0.00625	79.0	110.81825470924377
19	-53.06147	9.405869	-38.549007	-63.654423	1000.0	-3.7987478	0.09653852	-3.4833486	-4.133671	80000	-3.695488e-09	16.509314	-0.0028189898	-0.020271301	1.0098467	0.0027443373	0.01875	79.0	123.74279880523682
20	-76.8941	34.707302	-38.855865	-120.4799	1000.0	-3.9110696	0.09129723	-3.648302	-4.2827187	84000	-1.8119811e-08	58.06131	-0.0008593165	-0.592083	1.0249585	0.0017079718	0.0045	79.0	128.79233193397522
21	-49.121967	24.003366	-21.769451	-87.570015	1000.0	-4.5351553	0.09559655	-4.2490654	-4.932786	88000	-8.8214875e-09	21.278667	-0.0013539533	-1.1927376	1.0034816	0.003099779	0.015	79.0	142.80779385566711
22	-40.15547	26.78272	-12.648483	-83.35155	1000.0	-3.624167	0.14746813	-3.291248	-4.2456107	92000	1.3113022e-09	18.402458	-0.0052421708	-1.5012932	0.9754103	0.0029405362	0.02175	79.0	151.57764506340027
23	-28.181656	12.076896	-10.395431	-41.777348	1000.0	-2.5035336	0.25056782	-1.5698392	-3.3829114	96000	3.0994416e-09	3.841646	-0.0024183122	-0.09972143	1.0038549	0.0036950454	0.0235	79.0	158.49307084083557
24	-39.809933	21.315641	-16.440111	-68.055626	1000.0	-2.1899526	0.24836361	-1.2603778	-2.8554115	100000	-4.2915342e-09	16.533066	-0.0014826105	-0.68356705	1.016984	0.0031602683	0.01675	79.0	161.8808717727661
25	-44.863342	43.924393	-15.64025	-120.778114	1000.0	-2.305034	0.09301122	-2.0122573	-3.1166792	104000	-8.106232e-09	39.96944	-0.0005339866	-1.3732605	1.0177622	0.002184346	0.01025	79.0	164.7736587524414
26	-48.653847	28.084616	-19.250912	-79.29702	1000.0	-2.3974032	0.18849923	-1.3653662	-3.3512516	108000	2.6464463e-08	20.653059	-0.0020308075	-0.3801384	1.0219393	0.0013250005	0.015	79.0	167.45498394966125
27	-38.08861	3.090272	-34.04398	-41.85104	1000.0	-2.895435	0.13845065	-2.4643958	-3.4493191	112000	-1.26361845e-08	7.8739233	-0.0017276811	-0.38400984	1.0502547	0.005033291	0.041	79.0	170.20858478546143
28	-57.37139	38.00244	-18.746105	-117.98313	1000.0	-2.8213108	0.17717539	-2.0291996	-3.3796067	116000	-1.4901161e-08	27.685236	-0.0012741468	-1.6914825	1.0286236	0.0018003308	0.011	79.0	173.45449590682983
