Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-124.60843	69.8002	-69.59017	-241.96977	1000.0	-0.02944046	0.012248981	-0.004306935	-0.060371265	4000	-4.4092538e-08	221.43149	-0.0038583777	-122.34286	0.9189385	0.0062815323	0.0345	79.0	4.358541011810303
1	-196.6493	98.72643	-77.2135	-351.02582	1000.0	-8.697418	0.062625624	-8.480629	-8.809524	8000	1.168251e-08	237.18922	-0.0013263073	-51.166595	0.94302183	0.001533399	0.0095	79.0	6.419055700302124
2	-213.14017	116.566536	-35.176277	-344.43195	1000.0	-14.15217	0.03219772	-14.046195	-14.217586	12000	1.001358e-08	280.51263	-0.0027283835	-13.940094	0.9526729	0.00393754	0.0305	79.0	8.459728717803955
3	-98.52943	46.46061	-35.17556	-166.42572	1000.0	-17.151262	0.017778803	-17.107805	-17.190866	16000	-5.477667e-08	103.71339	-0.00223263	-50.63202	0.9564296	0.0019846682	0.02875	79.0	10.647723913192749
4	-250.66037	194.89236	-95.59462	-574.1548	1000.0	-11.631512	0.06550323	-11.458119	-11.756493	20000	9.298325e-09	544.655	-0.0011109186	-117.490845	0.9561441	0.0021484694	0.022	79.0	12.75901985168457
5	-220.95383	101.36422	-79.57698	-342.3934	1000.0	-19.128992	0.01361845	-19.092644	-19.148018	24000	1.8715859e-08	135.09311	-0.0014811751	-5.7275696	0.94614804	0.0022053805	0.01725	79.0	15.297363996505737
6	-467.93192	464.7528	-53.902996	-1185.3429	1000.0	-20.976095	0.020734131	-20.905342	-21.004175	28000	5.39422e-09	3073.7456	-0.0010248886	-427.99365	0.9501466	0.0017074653	0.02275	79.0	20.25928807258606
7	-339.09338	357.5694	-69.85679	-954.1355	1000.0	-32.532066	0.003926301	-32.51539	-32.537853	32000	5.722046e-09	1274.9281	-0.0026455552	-2.935791	0.9686918	0.0040736943	0.02075	79.0	23.1975679397583
8	-273.84113	138.06097	-150.43587	-502.50595	1000.0	-33.873463	0.0034682099	-33.861824	-33.878067	36000	-1.1920929e-08	451.7346	-0.0016371112	-35.836395	0.96857727	0.0022408194	0.021	79.0	25.451488971710205
9	-145.34749	67.76391	-89.90228	-261.28073	1000.0	-30.599258	0.00213322	-30.59282	-30.602697	40000	5.2928925e-08	400.01123	-0.0030981435	-192.50732	0.9674751	0.003329493	0.0295	79.0	27.79297375679016
10	-79.23344	19.837606	-50.11792	-104.50639	1000.0	-23.096697	0.0014929305	-23.091208	-23.099747	44000	1.4960766e-07	241.78581	-0.002946484	-144.89075	0.98909384	0.003095019	0.02975	79.0	29.92511487007141
11	-110.99979	59.201443	-48.37962	-183.99535	1000.0	-16.618868	0.0018566888	-16.611494	-16.62402	48000	-3.987551e-08	145.05925	-0.002567042	-29.167702	1.0254076	0.004389419	0.02775	79.0	31.94380784034729
12	-636.01086	268.7024	-273.9549	-965.2662	1000.0	-13.571555	0.006380876	-13.5540285	-13.581951	52000	-6.6280364e-08	5092.203	-0.00498645	-1055.1543	1.0117304	0.008001036	0.04125	79.0	33.98158383369446
13	-162.33826	84.0617	-61.73947	-267.9883	1000.0	-27.264809	0.00067901757	-27.262741	-27.26611	56000	-1.3232231e-08	276.15387	-0.0010005422	-27.28212	1.0377452	0.0014157195	0.0045	79.0	36.029770851135254
14	-159.2916	43.77167	-102.09551	-224.07375	1000.0	-25.675167	0.00056783325	-25.67348	-25.676453	60000	2.360344e-08	235.4708	-0.0015317117	-52.404114	1.0254003	0.0016545083	0.0095	79.0	38.08623480796814
15	-155.68225	110.43668	-17.330599	-314.83374	1000.0	-22.620787	0.00050561817	-22.618633	-22.621916	64000	8.940697e-09	254.0495	-0.0004065002	-40.560547	0.9985829	0.0014629088	0.0085	79.0	40.08991098403931
16	-87.6658	76.1227	-20.838993	-217.0723	1000.0	-19.873993	0.00041393877	-19.872198	-19.874863	68000	4.1007997e-08	200.12216	-0.0023758113	-62.93097	0.9887294	0.0021249563	0.0165	79.0	42.09508776664734
17	-51.023056	29.804749	-19.915346	-100.22374	1000.0	-16.445234	0.00035616837	-16.443882	-16.446123	72000	-2.8073787e-08	142.29623	-0.003227988	-65.50181	0.9995001	0.005280619	0.0225	79.0	44.18346691131592
18	-287.04465	41.910954	-240.24667	-342.33603	1000.0	-12.867632	0.00045688255	-12.866666	-12.868706	76000	-1.6272068e-08	654.6648	-0.0019962995	-72.298584	1.0038719	0.0035355622	0.021	79.0	46.44823598861694
19	-158.01337	52.78265	-105.359604	-240.49957	1000.0	-16.362474	0.0005172173	-16.360018	-16.363522	80000	-8.5830685e-09	112.50052	-0.00363277	-0.9973831	1.0094746	0.006342488	0.03875	79.0	48.722898960113525
20	-156.42712	84.9033	-42.50505	-264.11545	1000.0	-16.066505	0.0005483294	-16.064411	-16.06787	84000	-3.5405158e-08	206.50497	-0.0012439827	-8.117416	1.0278739	0.00041211367	0.008	79.0	50.89794874191284
21	-168.8201	83.32464	-114.68489	-312.99203	1000.0	-14.7591915	0.00083740556	-14.755593	-14.760591	88000	-1.5497208e-09	157.64665	-0.0010978519	-0.33784485	0.9977314	0.0010959732	0.01575	79.0	52.89293384552002
22	-60.08807	27.284721	-24.260542	-100.99974	1000.0	-14.976768	0.00052108004	-14.97425	-14.9778	92000	2.515316e-08	102.69203	-0.0009442693	-44.068813	1.0108795	0.0031692034	0.00575	79.0	54.89317083358765
