episode,timestep,reward
5,800,-110.6783
5,1600,0.0
9,2400,-79.3231
11,3200,-95.7591
11,4000,0.0
15,4800,-86.6437
15,5600,0.0
20,6400,-84.9682
22,7200,-94.1624
22,8000,0.0
30,8800,-96.6193
31,9600,-93.3441
32,10400,-35.8754
32,11200,0.0
34,12000,-61.9212
40,12800,-97.7438
43,13600,-118.4169
43,14400,0.0
47,15200,-85.7099
47,16000,0.0
49,16800,-76.0401
49,17600,0.0
50,18400,-36.3681
50,19200,0.0
53,20000,-82.0647
53,20800,0.0
56,21600,-74.9339
56,22400,0.0
59,23200,-83.5162
60,24000,-124.8264
60,24800,0.0
63,25600,-84.3896
63,26400,0.0
67,27200,-86.3393
67,28000,0.0
68,28800,-32.4563
68,29600,0.0
70,30400,-77.0879
70,31200,0.0
72,32000,-65.5003
72,32800,0.0
73,33600,-34.0767
73,34400,0.0
74,35200,-23.0384
74,36000,0.0
75,36800,-35.586
76,37600,-36.0752
77,38400,-119.5425
77,39200,0.0
79,40000,-77.7563
80,40800,-34.3731
81,41600,-131.0891
81,42400,0.0
83,43200,-80.2386
83,44000,0.0
84,44800,-36.9109
85,45600,-35.2837
87,46400,-123.7786
87,47200,0.0
88,48000,-38.2589
88,48800,0.0
90,49600,-80.4919
90,50400,0.0
94,51200,-102.7088
94,52000,0.0
98,52800,-87.2855
100,53600,-120.6242
100,54400,0.0
102,55200,-68.9868
102,56000,0.0
103,56800,-36.494
103,57600,0.0
108,58400,-99.0892
109,59200,-103.146
109,60000,0.0
112,60800,-86.8086
112,61600,0.0
113,62400,-34.927
113,63200,0.0
115,64000,-77.5086
115,64800,0.0
116,65600,-37.5023
116,66400,0.0
117,67200,-34.3116
117,68000,0.0
119,68800,-67.718
119,69600,0.0
120,70400,-36.8311
120,71200,0.0
121,72000,-37.3737
121,72800,0.0
122,73600,-36.7459
123,74400,-34.7297
124,75200,-93.4892
125,76000,-36.2862
126,76800,-126.5184
126,77600,0.0
127,78400,-14.9925
128,79200,-145.4026
128,80000,0.0
130,80800,-83.1351
130,81600,0.0
132,82400,-80.2174
132,83200,0.0
133,84000,-35.3626
133,84800,0.0
134,85600,-37.0742
134,86400,0.0
135,87200,-35.5011
135,88000,0.0
137,88800,-79.4288
137,89600,0.0
139,90400,-67.4029
139,91200,0.0
141,92000,-78.1849
141,92800,0.0
142,93600,-35.3652
142,94400,0.0
143,95200,-37.577
144,96000,-35.5384
144,96800,0.0
145,97600,-38.2704
145,98400,0.0
146,99200,-37.2906
146,100000,0.0
