episode,timestep,reward
42,800,18.4524
78,1600,22.7778
118,2400,19.75
157,3200,20.4615
188,4000,25.7419
234,4800,17.4348
276,5600,19.2857
312,6400,22.0
348,7200,22.6111
377,8000,26.3448
407,8800,27.0333
441,9600,23.8824
475,10400,23.9118
508,11200,24.0909
540,12000,24.625
561,12800,36.6667
579,13600,46.9444
605,14400,30.5769
629,15200,33.125
650,16000,38.381
673,16800,32.9565
698,17600,33.68
714,18400,49.375
725,19200,69.6364
737,20000,63.4167
752,20800,58.0
769,21600,48.1765
785,22400,49.875
801,23200,48.4375
816,24000,49.7333
825,24800,91.2222
835,25600,84.9
841,26400,117.8333
852,27200,71.3636
860,28000,95.625
868,28800,110.5
877,29600,95.2222
886,30400,90.3333
890,31200,187.0
897,32000,117.4286
902,32800,149.8
909,33600,112.5714
914,34400,136.4
921,35200,137.7143
928,36000,114.1429
932,36800,191.25
938,37600,146.1667
941,38400,250.6667
945,39200,181.25
949,40000,183.5
951,40800,414.0
954,41600,197.6667
957,42400,337.0
959,43200,381.0
963,44000,245.25
967,44800,204.25
968,45600,500.0
972,46400,273.0
974,47200,397.0
978,48000,203.0
979,48800,397.0
982,49600,346.3333
984,50400,288.5
988,51200,276.5
991,52000,249.0
994,52800,270.3333
997,53600,294.3333
999,54400,324.0
1001,55200,364.0
1004,56000,292.0
1006,56800,401.5
1008,57600,286.5
1011,58400,390.0
1013,59200,317.0
1015,60000,339.0
1017,60800,456.0
1019,61600,308.5
1021,62400,485.0
1023,63200,424.0
1025,64000,368.5
1028,64800,326.6667
1029,65600,500.0
1031,66400,460.5
1033,67200,413.5
1035,68000,453.5
1038,68800,271.6667
1041,69600,264.0
1042,70400,500.0
1044,71200,452.5
1046,72000,489.5
1047,72800,500.0
1049,73600,500.0
1051,74400,500.0
1052,75200,500.0
1054,76000,500.0
1055,76800,500.0
1057,77600,500.0
1059,78400,484.5
1060,79200,500.0
1062,80000,500.0
1063,80800,500.0
1065,81600,500.0
1067,82400,491.5
1068,83200,500.0
1070,84000,500.0
1071,84800,500.0
1073,85600,500.0
1075,86400,360.5
1077,87200,500.0
1079,88000,471.0
1080,88800,500.0
1082,89600,500.0
1084,90400,378.5
1086,91200,432.5
1088,92000,346.0
1089,92800,500.0
1092,93600,394.6667
1093,94400,500.0
1095,95200,493.0
1097,96000,500.0
1098,96800,500.0
1100,97600,500.0
1101,98400,500.0
1103,99200,500.0
1105,100000,455.0
