episode,timestep,reward
0,800,0.0
1,1600,-12936.897
2,2400,-12403.963
3,3200,-11401.0035
3,4000,0.0
4,4800,-17772.6328
5,5600,-12818.0694
6,6400,-9398.4503
7,7200,-69894.7521
7,8000,0.0
8,8800,-74656.6802
9,9600,-63536.1803
10,10400,-72710.4056
11,11200,-66450.8674
11,12000,0.0
12,12800,-69592.307
13,13600,-92234.5952
14,14400,-85630.8873
15,15200,-97615.6533
15,16000,0.0
16,16800,-98650.6505
17,17600,-92263.7134
18,18400,-89896.9773
19,19200,-98679.0999
19,20000,0.0
20,20800,-101059.5901
21,21600,-100746.8263
22,22400,-102607.1263
23,23200,-100775.1265
23,24000,0.0
24,24800,-102975.4012
25,25600,-36016.0812
26,26400,-3763.7298
27,27200,-54273.1225
27,28000,0.0
28,28800,-44575.2015
29,29600,-56217.2027
30,30400,-25647.3267
31,31200,-1860.6329
31,32000,0.0
32,32800,-954.6564
33,33600,-1193.6853
34,34400,-1591.9859
35,35200,-2274.8891
35,36000,0.0
36,36800,-580.1494
37,37600,-450.7874
38,38400,-2196.0784
39,39200,-728.1051
39,40000,0.0
40,40800,-1175.9709
41,41600,-1460.5036
42,42400,-1205.0098
43,43200,-1319.2225
43,44000,0.0
44,44800,-1480.958
45,45600,-1762.3399
46,46400,-2397.6304
47,47200,-1961.7355
47,48000,0.0
48,48800,-1362.8405
49,49600,-1390.9152
50,50400,-2164.0918
51,51200,-757.8155
51,52000,0.0
52,52800,-1688.8292
53,53600,-1096.9321
54,54400,-416.9295
55,55200,-2109.4905
55,56000,0.0
56,56800,-890.5738
57,57600,-506.3659
58,58400,-1750.4645
59,59200,-624.3421
59,60000,0.0
60,60800,-473.5003
61,61600,-624.7282
62,62400,-497.2774
63,63200,-2192.8709
63,64000,0.0
64,64800,-1148.521
65,65600,-500.8348
66,66400,-1051.6676
67,67200,-632.2019
67,68000,0.0
68,68800,-827.1566
69,69600,-2519.4368
70,70400,-2322.0986
71,71200,-2210.0215
71,72000,0.0
72,72800,-1368.5124
73,73600,-708.7116
74,74400,-1849.6997
75,75200,-1517.9935
75,76000,0.0
76,76800,-957.357
77,77600,-586.8535
78,78400,-1191.1555
79,79200,-1340.8077
79,80000,0.0
80,80800,-1322.6628
81,81600,-2049.7864
82,82400,-2225.9036
83,83200,-439.1967
83,84000,0.0
84,84800,-1006.3031
85,85600,-1537.5531
86,86400,-1617.8526
87,87200,-2289.0902
87,88000,0.0
88,88800,-1830.537
89,89600,-1565.0824
90,90400,-1850.5455
91,91200,-844.3079
91,92000,0.0
92,92800,-1935.1302
93,93600,-2022.0603
94,94400,-500.8235
95,95200,-1786.5386
95,96000,0.0
96,96800,-1644.8196
97,97600,-1819.5593
98,98400,-1354.5133
99,99200,-1332.1503
99,100000,0.0
100,100800,-1849.5422
