episode,timestep,reward
0,800,0.0
1,1600,-82307.6307
2,2400,-99056.1105
3,3200,-90919.2482
3,4000,0.0
4,4800,-85964.803
5,5600,-141967.4487
6,6400,-1518.0717
7,7200,-796.8487
7,8000,0.0
8,8800,-749.1742
9,9600,-1907.7686
10,10400,-1076.8742
11,11200,-1429.8978
11,12000,0.0
12,12800,-3671.4018
13,13600,-658.4127
14,14400,-1474.5984
15,15200,-1382.1968
15,16000,0.0
16,16800,-3123.1485
17,17600,-2440.0234
18,18400,-1361.5201
19,19200,-11450.1145
19,20000,0.0
20,20800,-1310.5075
21,21600,-10609.8244
22,22400,-122139.4121
23,23200,-68939.7868
23,24000,0.0
24,24800,-110060.2131
25,25600,-110986.3651
26,26400,-91120.8443
27,27200,-116060.8518
27,28000,0.0
28,28800,-106100.3101
29,29600,-107867.2712
30,30400,-89888.2438
31,31200,-123369.4622
31,32000,0.0
32,32800,-109094.435
33,33600,-86322.6117
34,34400,-132019.6545
35,35200,-109095.8214
35,36000,0.0
36,36800,-107207.8409
37,37600,-132329.8567
38,38400,-89708.2843
39,39200,-103961.7778
39,40000,0.0
40,40800,-103746.9536
41,41600,-90193.4796
42,42400,-103533.2362
43,43200,-119749.7912
43,44000,0.0
44,44800,-140120.9139
45,45600,-134954.7692
46,46400,-102624.9774
47,47200,-108527.3774
47,48000,0.0
48,48800,-94947.7044
49,49600,-132538.6586
50,50400,-118588.3029
51,51200,-96937.1498
51,52000,0.0
52,52800,-134066.5411
53,53600,-119344.0097
54,54400,-102847.3079
55,55200,-88623.5559
55,56000,0.0
56,56800,-84172.4228
57,57600,-75338.9864
58,58400,-128643.0788
59,59200,-131117.3999
59,60000,0.0
60,60800,-111055.7741
61,61600,-106636.9465
62,62400,-103425.5677
63,63200,-107061.9932
63,64000,0.0
64,64800,-120396.171
65,65600,-135103.0503
66,66400,-99714.3202
67,67200,-124252.1194
67,68000,0.0
68,68800,-132804.4921
69,69600,-108310.0099
70,70400,-112823.693
71,71200,-94004.1319
71,72000,0.0
72,72800,-99547.534
73,73600,-129432.1993
74,74400,-113802.4977
75,75200,-107858.4243
75,76000,0.0
76,76800,-104923.2042
77,77600,-123658.3818
78,78400,-124035.542
79,79200,-129019.1369
79,80000,0.0
80,80800,-109027.4044
81,81600,-97241.2138
82,82400,-89004.3079
83,83200,-146212.6734
83,84000,0.0
84,84800,-87496.9208
85,85600,-133392.8702
86,86400,-131324.6702
87,87200,-131156.0356
87,88000,0.0
88,88800,-141190.8456
89,89600,-113651.6406
90,90400,-123538.684
91,91200,-102870.071
91,92000,0.0
92,92800,-142314.5771
93,93600,-144892.9962
94,94400,-118937.5434
95,95200,-116645.0386
95,96000,0.0
96,96800,-131536.8304
97,97600,-141750.9886
98,98400,-125280.4034
99,99200,-142502.6772
99,100000,0.0
100,100800,-139499.0835
