ax,ay
3.9446537,4.0
3.9573448,3.9999998
3.9609802,3.9999983
3.9639988,3.999999
3.9736605,3.9999948
3.9942513,3.983992
3.9989903,-3.982601
3.9963074,-3.9993768
3.3930423,-3.999972
3.9993365,-3.9175854
3.9995058,-3.9981058
3.9970796,-3.9998512
3.3822265,-3.999985
-3.9292417,-3.9999986
-3.9818501,-3.999999
3.9989982,-3.4966342
3.999029,-3.996826
3.9704888,-3.9998994
-3.609728,-3.9999967
-3.9688497,-3.999998
3.9943726,3.9863372
3.999289,-3.9944992
3.9887507,-3.9997847
-2.726735,-3.9999945
-3.9534426,-3.9999974
-3.9917178,-3.9999976
3.985508,3.9998496
3.9980724,-3.8771596
3.9233906,-3.9984834
-3.8762429,-3.9999945
-3.9906015,-3.9999955
-3.998106,-3.999977
3.9719965,3.9999928
3.9887497,3.493638
2.8539062,-3.999686
-3.9786894,-3.9999967
-3.9990165,-3.999994
-3.9999769,-3.9999952
3.9665375,3.9999955
3.9671638,3.8714933
-1.3370094,-3.9995172
-3.9902267,-3.9999683
-3.9996471,-3.9999564
-4.0,-3.9995897
3.9591584,3.9999986
3.88962,3.9998732
-2.287121,-3.974725
-3.9937482,-3.9966748
-3.9999042,-3.97829
3.966916,3.999999
3.959405,3.9999921
3.8072126,2.437533
-3.9400194,-3.9999757
-3.99958,-3.9999893
-3.9999998,-3.999997
3.9678164,3.999998
3.9716258,3.998766
2.8817258,-3.9961371
-3.9997013,-3.9999988
-4.0,-4.0
-4.0,-4.0
3.9682155,3.9999983
3.9409564,3.998423
-2.2165763,-3.9974487
-3.9998648,-3.9998891
-4.0,-3.9999866
-4.0,-3.999998
3.9706237,3.9999993
3.9019837,3.999992
-1.9270338,2.739021
-3.998251,-3.9814909
-3.9999979,-3.999764
-4.0,-3.9998546
3.9680846,3.9999993
3.9176393,3.9999945
-0.40387818,3.875671
-3.9812436,-3.9998229
-3.9999778,-3.9995675
-4.0,-3.9992676
3.9678226,3.9999993
3.930098,3.9999857
1.3465818,-0.29930714
-3.9982371,-3.99954
-3.999998,-3.9999833
-4.0,-3.9999862
3.9699912,3.9999993
3.920177,3.9999733
-0.060413536,-0.88298726
-3.9994335,-3.9967182
-4.0,-3.9996822
-4.0,-3.9997866
3.9712358,3.9999993
3.9025996,3.9999936
-0.37398934,-1.3889714
-3.9995172,-3.9730268
-3.9999995,-3.9982538
-4.0,-3.9962106
3.9750347,3.9999995
3.9163306,3.9999971
-0.797743,3.8306072
-3.9871032,-3.8573463
-3.9999685,-3.9403007
3.9874225,3.9999998
3.9752185,3.9999962
3.9762607,2.2958941
-2.9134297,-3.9998238
-3.9998548,-3.9999943
-4.0,-3.9999995
3.990524,3.9999995
-4.0,-4.0
3.9323668,3.999896
0.9861077,-3.9893456
-3.9999251,-3.9999962
-4.0,-3.9999971
-4.0,-3.9999075
-4.0,3.9997232
3.9566834,3.9999993
3.301786,3.9999437
-3.9109752,-3.7402005
-3.9997168,-1.0208304
-3.9999886,3.9998229
-3.9999564,4.0
3.9654126,3.999999
3.9610205,3.9968455
2.2079113,-3.9945521
-3.9678788,-3.9944365
3.9847798,3.9999986
3.994597,3.9897728
3.9982255,-3.9994774
2.2326472,-3.999974
-3.9999413,-3.9999993
-4.0,-3.9939206
-4.0,3.9706259
-4.0,3.9988565
3.997397,2.8209274
3.9665692,-3.9961026
-3.854692,-3.99755
-3.9932976,4.0
3.9963562,3.996637
3.9994922,-3.9685955
3.9961286,-3.9950268
-3.172109,-3.9937227
-3.9997282,3.8843563
-3.9996386,4.0
3.9993026,-0.6927101
-4.0,3.996039
3.999269,-3.9198167
3.6759374,3.9999988
-3.9918046,3.9996889
-3.9986038,3.9999876
3.9998257,-3.99952
-4.0,3.9994168
3.99869,-3.8931398
2.6565797,3.999998
-3.976287,3.999716
-3.9882967,4.0
3.9998274,-3.9998007
3.999391,-3.9989629
-4.0,3.9765084
1.8564746,3.9908888
-3.93592,3.9999998
-3.9804678,4.0
3.9998057,-3.9997606
3.9989843,-3.9957857
3.651172,3.9856184
-3.8777578,-3.518627
-3.9836001,4.0
-3.9908104,4.0
3.9997332,-3.9774888
-4.0,3.9999988
3.9772773,3.9962962
-2.6423728,3.9999921
-3.8937323,4.0
3.9998028,-3.9995265
3.999207,-3.9884202
3.9139879,3.8295922
-3.3888292,3.9994352
-3.8428824,3.998671
-3.9546962,4.0
3.9997163,-3.999941
3.9968994,-3.9999154
3.0501475,-3.9956007
-3.8683267,3.9857273
-3.9537828,4.0
-3.977976,4.0
3.999542,-3.99998
3.979471,-3.999741
-0.59547246,-3.6332204
-3.84909,3.9999983
-3.963036,4.0
3.9997594,-3.9999871
3.9933352,-3.9986484
2.1559424,1.0943179
-3.6971693,3.9968803
-3.9192345,3.9999993
3.9999194,-4.0
3.9936962,-4.0
2.7213626,-4.0
-3.5765007,-3.7208617
-3.9425175,3.999991
3.99994,-4.0
-3.9997582,4.0
3.9690514,-3.9999993
0.26570523,-3.9942045
-3.8414605,3.9987156
-3.9417052,3.9999914
3.9998446,-4.0
3.969437,-3.9999943
1.0586625,-3.995119
3.9999118,-4.0
-3.9999204,3.9000592
-3.9998386,3.9994826
-3.9994652,3.999998
3.9083884,-3.9965887
3.9998112,-4.0
-3.9676673,0.9573006
3.999353,-4.0
-3.999999,3.9920359
2.7729976,-3.9632251
-2.871366,-3.6765943
3.999892,-4.0
-3.9998949,1.8954303
-3.9999018,3.9965627
3.9846046,-3.9970155
-0.9181673,-2.6512384
3.9998908,-4.0
-3.9998767,-2.4811869
-3.9999561,3.9832623
3.9972072,-3.9217703
1.5624126,-2.103349
-3.9776416,-3.2980256
3.9999542,-4.0
3.997868,-3.999359
-4.0,3.9805038
-4.0,3.9997137
3.9999373,-4.0
-3.99961,-3.7914863
-3.9998827,3.0111914
-3.9999325,3.9913785
-3.9999537,3.9999316
3.9999862,-4.0
3.9999774,-4.0
-3.995388,-2.7702782
-3.9984052,3.8937423
-3.9992628,3.9992082
3.9999895,-4.0
3.9999876,-4.0
3.9999664,-3.9992561
3.9986646,-3.3305502
-3.9999988,3.7800899
3.9998887,-4.0
3.998874,-4.0
3.7665927,-3.9999974
-3.282792,-3.989306
-2.8528824,-3.7798707
-4.0,3.9999795
3.999806,-3.9999955
3.981364,-3.9764802
2.5898442,-3.731407
-4.0,3.9956489
3.9953022,-4.0
-3.998175,-3.9222312
-3.9896479,-2.9242148
3.8971298,-2.5779111
2.858808,-3.203703
-4.0,3.9999998
3.983263,-3.9932745
-3.9773407,-1.1701697
3.7648377,-2.9317508
2.8801966,-3.1511967
-4.0,4.0
3.9373517,-3.9782767
-3.9563632,0.6443901
3.7058587,-3.002879
2.8189206,-3.0826914
3.799944,-3.9996245
-3.9922905,-0.37240964
3.642842,-2.9959326
