ax,ay
3.9857702,4.0
3.2215292,4.0
0.0075059147,4.0
3.9994571,4.0
3.794447,4.0
2.2702394,4.0
-2.3435838,4.0
-3.996324,3.999973
-4.0,-3.5430112
3.7916567,4.0
0.8225981,4.0
-3.9897184,3.9999733
-3.9999988,2.320544
-4.0,-3.9980333
3.733075,4.0
-2.9814546,4.0
-3.9998507,3.9931872
-4.0,-3.7681165
-4.0,-3.9950588
-4.0,-3.9993784
3.8126414,4.0
-3.6177626,4.0
-3.9999576,3.9459636
-4.0,-3.968292
-4.0,-3.997638
3.9910915,4.0
-3.3621128,4.0
-3.9999473,3.9883425
-4.0,-3.9044333
-4.0,-3.9957807
-4.0,-3.9992528
3.9921563,4.0
-3.443939,3.9999995
-3.9999154,3.9216073
-4.0,-3.9922101
-4.0,-3.9989393
3.9997513,4.0
-2.742904,3.9999993
-3.9998631,3.8085892
-4.0,-3.9832444
-4.0,-3.998486
-3.9999995,-3.999747
3.9998875,4.0
-0.14759748,3.999988
-3.9999788,-3.3166773
-3.9999294,-3.931857
-3.9997656,-3.9909987
3.9999852,4.0
3.981787,4.0
-3.9996102,1.8627648
-3.9999957,-3.9733622
-3.9999847,-3.9965222
-3.9998856,-3.9990416
3.999957,4.0
3.7560596,3.9999776
-3.9999611,-3.6390219
-3.9998038,-3.955055
-3.9989805,-3.9915326
3.999985,4.0
3.9463882,3.9999983
-3.9991179,1.3257583
-3.9999866,-3.9812143
-3.9999137,-3.996728
-3.99892,-3.9982507
3.9999657,4.0
3.7705653,3.9998026
-3.9993536,-3.4271991
-3.9972942,-3.9162688
-3.9890153,-3.9821851
3.9998913,4.0
3.8004885,3.9998543
-3.9965851,-1.1753654
-3.9979103,-3.8518882
-3.980122,-3.9483547
3.999467,3.9999995
3.5276122,3.999872
-3.997476,-0.47554877
-3.999177,-3.8427417
-3.990932,-3.9479535
-3.9219737,-3.9700933
3.9994106,3.9999986
3.9115472,3.9996865
-3.9953048,-2.9701667
-3.9687483,-3.6370318
-3.7911124,-3.8775747
3.9991841,3.999998
3.169146,3.9967172
-3.9757006,0.151704
-3.99353,-3.8007293
-3.9322002,-3.9240358
-3.3915098,-3.9295402
3.998253,3.9999843
3.9049568,3.9973028
-3.9830616,-3.1159692
-3.6154728,-3.3266625
-2.9461174,-3.7101078
3.997903,3.9999917
0.87547463,3.8879945
-3.8687239,-1.1537436
-3.8610916,-3.4503763
-2.2099571,-3.4830642
-3.0505571,-3.937493
3.997304,3.9999442
3.7829852,3.9692535
-3.9631975,-3.2679374
-3.0609596,-3.160843
-2.618523,-3.795269
3.956804,3.99871
0.25137207,3.5033708
-3.808565,-2.3445964
-3.176214,-2.8482835
-0.6716539,-3.1687496
3.8135033,3.9966588
-2.7416968,2.7178683
-3.95433,-3.6258416
-0.000993222,-0.9358964
-2.3676324,-3.36963
-0.5839641,-3.6124694
2.6826255,3.6208572
-3.2670054,-1.9202021
2.3247697,1.6727271
-3.4383006,-3.0386076
-0.74467844,-3.0498726
2.5212154,3.8234766
-3.7065208,-2.363457
2.4526157,2.2758307
-3.5302224,-2.7760851
-1.1777691,-2.7626069
0.08322328,-3.1669593
2.4890687,3.5529509
-2.8610766,-0.3973086
-0.66810566,0.031952657
-1.8466933,-1.9191041
-1.8650211,-3.1348646
-0.480782,1.6190968
-3.0970585,-2.8777142
2.97891,1.3404785
-0.15357044,0.15779456
-2.059219,-2.9571488
0.45047778,-2.8821018
-3.7451053,-3.6063836
3.8574648,3.6557353
-0.49503586,0.88803303
-2.1836681,-0.2645464
-0.7277732,-2.3618922
-1.3377095,-3.2509887
0.22380179,-0.2868512
-0.24767761,0.18758498
2.8034987,2.462815
-3.784146,-2.7414649
-3.9726965,-3.9197426
-2.7957056,-3.3279483
3.8672829,3.4164279
1.1216683,1.4418552
-0.1477289,0.7453044
-3.4147882,-2.414419
-3.9734094,-3.950278
-2.9981637,-3.6219532
3.8238914,2.5370955
3.8071232,3.3833961
-2.996167,-0.08502299
-1.6994408,-2.1279204
-3.9182982,-3.8589706
-1.989785,-3.1339664
3.8251843,2.730372
3.4266672,2.986989
-3.673064,-1.214468
-3.9990673,-3.9936755
-3.177728,-3.5975049
3.6850932,1.7559818
3.4206104,2.9051847
-3.1640549,0.6496759
-2.3937528,-1.2649394
-3.9945982,-3.9780548
-1.3818877,-3.0703738
3.7176826,2.1579652
3.133327,2.7730544
-3.2386894,-1.5195485
-1.4477926,-0.09959499
-3.9968512,-3.964417
-2.571577,-2.9807172
3.4796748,1.6518067
2.6915174,2.7317996
-3.240898,-0.7134018
-3.998712,-3.9879062
-3.750679,-3.775652
2.93819,-0.9820073
3.5934997,2.8436399
0.44707835,2.6046944
-3.0660584,-0.0027794833
-3.9877028,-3.919654
-1.7000176,-2.570194
3.4091156,1.7565207
1.6338075,2.4300656
-2.8161397,0.42845476
-3.9997497,-3.994329
-3.9675467,-3.9219892
3.2526891,-0.4609619
3.3521166,2.517703
-0.7496707,2.1650357
-2.7040312,0.5176136
-0.62984884,-1.9574904
-3.958059,-3.6450236
-0.92008644,-1.2323934
2.3918304,1.801625
2.1634986,2.2911184
-3.9999182,-3.995202
-3.994802,-3.946204
0.13761479,-2.210045
2.9439843,1.4385384
3.2258372,3.0574017
-2.8714883,1.0849022
-3.999826,-3.9888194
-3.8604665,-3.6270068
0.13379113,-1.8313001
3.8363657,3.0099294
1.2156488,2.7957718
-1.3402482,1.1213845
-3.9996197,-3.9730701
-3.7146163,-3.1300583
0.37174645,-0.9260536
3.6307418,2.9126828
-1.0211902,2.3961093
-3.999771,-3.9898655
3.7877014,2.4660785
-3.984472,-3.2767274
-0.7592875,0.8500223
-1.3458296,1.6359897
0.6746869,1.8071945
-1.5287921,-0.9148398
-3.9986951,-3.9449365
-3.3703516,-2.8725884
3.4914312,1.4739288
3.0934222,2.4632106
-3.999957,-3.9961693
-3.9934888,-3.9462411
-1.8699807,-3.1535702
1.4867134,-1.6930308
3.6848419,2.6984992
2.91005,3.1760123
-3.9997544,-3.9767098
-3.9514837,-3.6693552
1.092776,-1.1139718
0.19709875,0.87995625
2.432629,2.8915071
-0.19916974,2.9256523
-3.9997556,-3.9694533
-3.968994,-3.6226437
-0.37617907,-1.2765353
3.305142,2.3211207
1.9919796,3.0119002
-3.9998686,-3.9845378
-3.988483,-3.8588984
-2.2645054,-2.8268497
3.4424174,0.9671583
3.2967582,3.0067346
0.4758835,3.1009805
-3.9998276,-3.9721508
-3.9888365,-3.7584512
-2.8122742,-2.4232705
3.0619104,1.069572
3.8223865,3.438791
1.648566,3.1958706
-2.4077103,2.1846988
-3.998518,-3.754392
-3.91157,-2.1530852
-1.4339296,0.7582174
3.4879727,2.989452
-0.386816,2.3116865
-3.9997728,-3.9685981
3.8188984,2.7278826
-3.9938605,-3.1187418
-2.455081,0.97489095
-0.51153225,1.9193735
-1.0700678,1.9541807
0.5970796,0.5791658
-3.9986434,-3.8933804
-3.9064972,-3.006916
2.832884,1.3786716
0.7661258,1.9476597
1.2806177,1.2177042
-2.1109416,-0.49118993
1.5085806,-1.471252
