ax,ay
-0.5170793,-0.4825617
-0.54292077,-0.42470112
-0.5813426,-0.36929756
-0.46827307,-0.6082945
-0.49665034,-0.55124694
-0.535139,-0.4968277
-0.5619894,-0.44247162
-0.5868479,-0.3898457
-0.61226183,-0.3385122
-0.51138264,-0.5835912
-0.53614086,-0.51848125
-0.56249565,-0.46770406
-0.5979004,-0.40636948
-0.62273186,-0.3585921
-0.6429915,-0.2995925
-0.5417438,-0.5497167
-0.5647529,-0.48948357
-0.59984046,-0.4315241
-0.6263326,-0.38657594
-0.66042936,-0.331449
-0.539193,-0.5710698
-0.57594514,-0.5147829
-0.59861547,-0.45897496
-0.6340093,-0.40534526
-0.6552191,-0.3523593
-0.6872122,-0.3021564
-0.56631327,-0.5460941
-0.6036653,-0.49378213
-0.62145126,-0.42965636
-0.6556168,-0.38051984
-0.6864787,-0.31985557
-0.7063838,-0.27281857
-0.5963866,-0.52224654
-0.6290324,-0.46147993
-0.6505878,-0.41406262
-0.68187994,-0.35594702
-0.6996025,-0.29843426
-0.5867807,-0.55072075
-0.61983263,-0.49260995
-0.65090746,-0.4360201
-0.6685781,-0.37983698
-0.69904166,-0.3258852
-0.7287826,-0.2734256
-0.6154371,-0.5295941
-0.6350321,-0.47432783
-0.6625805,-0.4086771
-0.69310534,-0.3571207
-0.7222826,-0.30713007
-0.74617946,-0.24612007
-0.6216922,-0.50470006
-0.6501267,-0.44128174
-0.679632,-0.3922458
-0.70668006,-0.33144757
-0.7349793,-0.28521717
-0.6154031,-0.5348574
-0.6475266,-0.48635212
-0.67493755,-0.4264653
-0.7010604,-0.36803216
-0.7271905,-0.3108468
-0.75138146,-0.25542396
-0.6345443,-0.52129465
-0.6631094,-0.46331555
-0.68854326,-0.4070951
-0.71290106,-0.3387861
-0.7365591,-0.28547505
-0.7609117,-0.233347
-0.6413324,-0.48971114
-0.66761047,-0.43535045
-0.69468534,-0.3818905
-0.7199859,-0.3299596
-0.7408417,-0.26676226
-0.6197058,-0.5252397
-0.6576275,-0.47394735
-0.68127877,-0.40965986
-0.7081148,-0.35926834
-0.72871315,-0.29792234
-0.764807,-0.25175607
-0.6408754,-0.5135766
-0.6643581,-0.45113552
-0.68804437,-0.389655
-0.72008604,-0.3312368
-0.744537,-0.2854894
-0.7652734,-0.22823565
-0.64222884,-0.4928136
-0.6761182,-0.43444726
-0.69808066,-0.37600866
-0.7310167,-0.32006773
-0.75061476,-0.2645357
-0.77043825,-0.21025346
-0.6595381,-0.47849292
-0.6774238,-0.40906522
-0.7100414,-0.3546654
-0.7319437,-0.30005398
-0.7623522,-0.24853018
-0.633179,-0.5051574
-0.65570223,-0.44968972
-0.6893545,-0.3964689
-0.7181464,-0.33189368
-0.7381911,-0.28021613
-0.7646414,-0.21866782
-0.63938326,-0.49049398
-0.67344296,-0.43853483
-0.69079345,-0.3740174
-0.7185916,-0.3120807
-0.74851215,-0.26442322
-0.76377213,-0.20393954
-0.6498821,-0.47930714
-0.6800571,-0.4169682
-0.6964853,-0.3549425
-0.7240453,-0.29537988
-0.749858,-0.2374479
-0.62186843,-0.51355594
-0.6523439,-0.45241183
-0.67988664,-0.39287812
-0.7083392,-0.33421323
-0.73511726,-0.27706665
-0.7583212,-0.22190426
-0.6311711,-0.49997512
-0.6597477,-0.44129014
-0.68626136,-0.37054655
-0.71167266,-0.31467032
-0.7367396,-0.2600402
-0.76213586,-0.20655699
-0.6313714,-0.47409764
-0.6596686,-0.417499
-0.68516004,-0.3624805
-0.7078675,-0.29561046
-0.7328737,-0.24303527
-0.6140128,-0.5128062
-0.64154255,-0.45742
-0.6676842,-0.40318194
-0.6898911,-0.33728132
-0.72646064,-0.2866767
-0.7453019,-0.22377902
-0.6151839,-0.49433815
-0.6408849,-0.4411465
-0.676176,-0.37695545
-0.6995825,-0.3262228
-0.7208544,-0.26350102
-0.7386647,-0.20278618
-0.6207904,-0.4763409
-0.6467079,-0.42483506
-0.678979,-0.36305982
-0.69950813,-0.3011814
-0.7191861,-0.2406838
-0.7481708,-0.1832064
-0.6212618,-0.4701995
-0.6554469,-0.4087019
-0.67603326,-0.34741074
-0.70539564,-0.2889999
-0.72366226,-0.23044194
-0.60433704,-0.50685054
-0.62572706,-0.44522247
-0.65852535,-0.38569686
-0.6758518,-0.3267779
-0.7065248,-0.2697929
-0.7235902,-0.21316695
-0.6046925,-0.49117765
-0.63568753,-0.43265682
-0.6521035,-0.36094886
-0.6824464,-0.30458233
-0.71003556,-0.24990043
-0.7266453,-0.19502267
-0.6083652,-0.47448412
-0.6353678,-0.40478233
-0.66599685,-0.34879953
-0.68187606,-0.29328316
-0.7052817,-0.22742172
-0.5866216,-0.507813
-0.6163391,-0.45163536
-0.63533074,-0.3949046
-0.66018504,-0.32796884
-0.6875384,-0.27518365
-0.71074027,-0.21086481
-0.5909242,-0.49295664
-0.61999196,-0.43821377
-0.6453997,-0.37157583
-0.6579867,-0.30502686
-0.6848516,-0.25381538
-0.7056465,-0.19145985
-0.5871676,-0.4747458
-0.6134867,-0.40838376
-0.64035475,-0.35639
-0.66412526,-0.292399
-0.6892683,-0.24283618
-0.7091019,-0.18191846
-0.5897585,-0.45313877
-0.61596334,-0.3975124
-0.6378507,-0.33824375
-0.67287993,-0.27954653
-0.69532526,-0.22232006
-0.57423717,-0.5024625
-0.5991532,-0.44064885
-0.6219504,-0.378795
-0.6433265,-0.3194932
-0.66385627,-0.26006195
-0.6959148,-0.20305295
-0.5770955,-0.48402047
-0.6003852,-0.42233074
-0.6203683,-0.36081246
-0.640229,-0.3016453
-0.6726814,-0.24320866
-0.6903596,-0.18537042
-0.5731399,-0.4658584
-0.6045935,-0.40577477
-0.6253571,-0.34518504
-0.642809,-0.28489226
-0.6735803,-0.22792892
-0.6892933,-0.17025086
-0.57230484,-0.4504225
-0.6038707,-0.38994175
-0.62280506,-0.32938632
-0.65089643,-0.2715583
-0.6659727,-0.21252798
-0.54802847,-0.4933085
-0.5788409,-0.43181336
-0.59711117,-0.37014166
-0.62591785,-0.3108041
-0.6528558,-0.25291935
-0.6655904,-0.19405945
-0.5511162,-0.47520077
-0.58030176,-0.41360104
-0.6084319,-0.353062
-0.6220666,-0.29287148
-0.64753574,-0.23491833
-0.53022516,-0.5154493
-0.5584771,-0.45419168
-0.5869948,-0.39366406
-0.6014814,-0.33190665
-0.6258868,-0.27272335
-0.64984864,-0.21471989
-0.5330949,-0.4961503
-0.56061417,-0.4345359
-0.585546,-0.37290505
-0.6111549,-0.31336305
-0.6347004,-0.25392875
-0.6429456,-0.1964279
-0.5419313,-0.47781724
-0.56619537,-0.41631508
-0.59151554,-0.35538042
-0.6126162,-0.2962708
-0.63473624,-0.237953
-0.6421283,-0.17877832
-0.5419619,-0.4608249
-0.56553304,-0.40018225
-0.58855164,-0.33913383
-0.61065936,-0.27921847
-0.62990385,-0.22093448
-0.516056,-0.5022636
-0.550705,-0.4401685
-0.57188964,-0.37943777
-0.5916629,-0.31981632
-0.6108876,-0.2599204
-0.49790663,-0.5408916
-0.52065694,-0.4777332
-0.5534127,-0.41677526
-0.5731445,-0.35569715
-0.5907748,-0.29595914
-0.6095652,-0.23696584
-0.6258471,-0.17823511
-0.52926886,-0.46116197
-0.547256,-0.3989219
-0.56487477,-0.3389025
-0.5941426,-0.27967334
-0.4831759,-0.55938023
-0.62627524,-0.15800758
-0.5308853,-0.43994793
-0.5486408,-0.37835842
-0.5777989,-0.3188654
-0.59323645,-0.2595582
-0.6070119,-0.20024112
-0.5104999,-0.48246714
-0.52660346,-0.41969615
-0.5564493,-0.35978654
-0.5697391,-0.2991973
-0.47181737,-0.5801006
-0.48841503,-0.5166321
-0.51657903,-0.45484707
-0.53256214,-0.39268625
-0.558087,-0.33296016
-0.57135224,-0.27305096
-0.47551754,-0.5532055
-0.60730565,-0.1521189
-0.5149835,-0.43326068
-0.5412754,-0.373079
-0.5530878,-0.3117408
-0.57615924,-0.25399292
-0.58725893,-0.1947516
-0.49413207,-0.47606373
-0.51844937,-0.41461584
-0.5427155,-0.35394147
-0.5528635,-0.29342744
-0.4605136,-0.57294226
-0.48409852,-0.510962
-0.4970555,-0.4481019
-0.5203327,-0.38738263
-0.54069936,-0.3266826
-0.44848663,-0.6054001
-0.5722283,-0.20450442
-0.4827115,-0.48407602
-0.5043161,-0.42342475
-0.52566725,-0.36218223
-0.54445815,-0.30229732
-0.4548705,-0.58139485
-0.5725255,-0.18053949
-0.4840281,-0.46036735
-0.5062064,-0.39995202
-0.5242249,-0.3397971
-0.54426414,-0.28009912
-0.45461604,-0.558625
-0.47530383,-0.49631715
-0.49422044,-0.43493694
-0.51329213,-0.37419876
-0.53152657,-0.31305233
-0.44195893,-0.5920996
-0.46231282,-0.52972144
-0.48137945,-0.4666707
-0.49899453,-0.4058966
-0.51646775,-0.34451672
-0.42820054,-0.6224245
-0.44614977,-0.55899984
-0.46504068,-0.49579695
-0.48129904,-0.4349865
-0.4981119,-0.37338036
-0.5141958,-0.31403705
-0.428315,-0.5911605
-0.44589883,-0.52797025
-0.47389364,-0.46667913
-0.48930186,-0.4049742
-0.5043448,-0.34404093
-0.517988,-0.28559363
-0.4347477,-0.56293374
-0.4493908,-0.5004846
-0.47644427,-0.4395736
-0.49092108,-0.37828243
-0.5031063,-0.3182012
-0.42132002,-0.5943828
-0.44674203,-0.5329631
-0.46036446,-0.47086012
-0.47436577,-0.40923658
-0.48580503,-0.3474397
-0.41655385,-0.62358713
-0.4311675,-0.5605997
-0.4442889,-0.4982813
-0.46731198,-0.43798867
-0.47849372,-0.37716225
-0.48911208,-0.31579491
-0.42339274,-0.5921527
-0.435321,-0.52972966
-0.44579434,-0.4680162
-0.4681669,-0.40798232
-0.47838148,-0.34615135
-0.4011853,-0.6202399
-0.4228925,-0.5590329
-0.43490562,-0.4966048
-0.45656326,-0.43489614
-0.46418065,-0.374436
-0.40037662,-0.64814013
-0.41140118,-0.58529335
-0.4321795,-0.522895
-0.4415861,-0.4610452
-0.4603706,-0.40137967
-0.46771896,-0.33977476
-0.40573162,-0.614176
-0.41434732,-0.55169743
-0.43499473,-0.49062544
-0.4410923,-0.42806
-0.46010748,-0.3684522
-0.38752264,-0.6402859
-0.4073511,-0.5786341
-0.42765057,-0.51719105
-0.43345875,-0.45419577
-0.45026064,-0.39447805
-0.3793013,-0.6647479
-0.3981938,-0.60288733
-0.41627863,-0.54148376
-0.4339226,-0.47915658
-0.43769845,-0.4179221
-0.3799433,-0.68771297
-0.38703704,-0.62444776
-0.40431273,-0.56274736
-0.41954812,-0.50176907
-0.35044205,-0.76602304
-0.36804974,-0.7037304
-0.3843769,-0.64169526
-0.4013347,-0.57965106
-0.41627938,-0.5182777
-0.41974503,-0.45605808
-0.36596698,-0.7226718
-0.37944913,-0.6608319
-0.38449135,-0.59859943
-0.39885396,-0.53680027
-0.41184634,-0.4756565
-0.36015448,-0.7405077
-0.3743464,-0.6794869
-0.38771486,-0.61711496
-0.39051673,-0.5542094
-0.40295675,-0.4931405
-0.41663584,-0.43242896
-0.36655292,-0.69901955
-0.37808442,-0.6373761
-0.3923245,-0.5753987
-0.4033329,-0.51450145
-0.34148175,-0.77544945
-0.35489884,-0.71343684
-0.36846194,-0.6511369
-0.38024703,-0.58951735
-0.39079103,-0.52838105
-0.4020132,-0.46745148
-0.35448,-0.73127025
-0.36607707,-0.6693095
-0.37787005,-0.60741484
-0.3878553,-0.546167
-0.34141973,-0.8051072
-0.3515572,-0.74335533
-0.3632146,-0.6813371
-0.37250975,-0.61975974
-0.38127783,-0.5585467
-0.3895921,-0.4977069
-0.34686682,-0.7583836
-0.35803837,-0.69625074
-0.3655586,-0.6348984
-0.37394857,-0.57356834
-0.3831244,-0.5122973
-0.34227335,-0.77137387
-0.34976402,-0.7099803
-0.35754594,-0.6483597
-0.36562896,-0.58694196
-0.38453048,-0.5269809
-0.33285597,-0.78381276
-0.3419714,-0.72182614
-0.3594684,-0.6616422
-0.36634982,-0.6002702
-0.37288082,-0.53917223
-0.33525306,-0.7954318
-0.3425943,-0.73376983
-0.34835133,-0.6723401
-0.36507496,-0.61234623
-0.36993292,-0.5514214
-0.37373683,-0.49109548
-0.3407152,-0.74884844
-0.34688583,-0.68772644
-0.35126564,-0.62606597
-0.3665932,-0.56583744
-0.37031522,-0.5059102
-0.3399435,-0.76215845
-0.34361196,-0.7000635
-0.34659702,-0.6393004
-0.3625204,-0.5795136
-0.36460736,-0.51910335
-0.3363011,-0.7734795
-0.3386037,-0.7122811
-0.35415375,-0.6530787
-0.3556707,-0.5918305
-0.3268794,-0.8412617
-0.33070374,-0.7806309
-0.3433438,-0.72011036
-0.34651434,-0.65906906
-0.3467842,-0.5986007
-0.35941622,-0.5392962
-0.33485612,-0.79155517
-0.33608562,-0.7303969
-0.33776104,-0.66885287
-0.35014307,-0.6099541
-0.3494233,-0.5502166
-0.36077982,-0.49047938
-0.33905867,-0.74402
-0.33938488,-0.6832734
-0.35210335,-0.6234149
-0.34945852,-0.5644748
-0.33049548,-0.81247956
-0.330266,-0.75129443
-0.34078392,-0.69244486
-0.33997616,-0.6308735
-0.34991172,-0.5720444
-0.33145165,-0.81984395
-0.32995093,-0.7593897
-0.33894607,-0.6999808
-0.3382569,-0.63873947
-0.34699047,-0.5805476
-0.32949254,-0.82675785
-0.35122278,-0.45815015
-0.33798903,-0.71016866
-0.3341881,-0.649971
-0.34313607,-0.5920227
-0.32854083,-0.8359777
-0.34678122,-0.46899354
-0.33417052,-0.72070044
-0.33092967,-0.65938777
-0.33848646,-0.6007033
-0.34725818,-0.54318875
-0.34210017,-0.48366177
-0.33268043,-0.73170924
-0.33994052,-0.67346543
-0.33427814,-0.614144
-0.34111878,-0.5558828
-0.3469322,-0.49799985
-0.34110478,-0.43903193
-0.33453986,-0.6887574
-0.34149435,-0.62938386
-0.33518612,-0.57036424
-0.3394464,-0.51293004
-0.3353867,-0.7574723
-0.34043613,-0.70024085
-0.33367544,-0.6402481
-0.3381051,-0.5815323
-0.3431951,-0.524075
-0.33534893,-0.46576643
-0.33427724,-0.7122027
-0.33852842,-0.6537746
-0.3418474,-0.59545064
-0.33329356,-0.537181
-0.3385226,-0.4799668
-0.33832398,-0.7243383
-0.34343213,-0.66588855
-0.33311638,-0.60680413
-0.33567432,-0.55002844
-0.3392557,-0.49316716
-0.34257576,-0.7349682
-0.33409643,-0.6757822
-0.33712766,-0.61902833
-0.33835033,-0.56124717
-0.34090707,-0.5046227
-0.32999644,-0.4472157
-0.33652425,-0.6905476
-0.33767235,-0.6328744
-0.34017244,-0.57617277
-0.34489197,-0.81182784
-0.32806507,-0.45744085
-0.33792752,-0.69965327
-0.3400492,-0.6417999
-0.33962524,-0.58572924
-0.32745528,-0.52696484
-0.3282114,-0.47072524
-0.34132528,-0.71158904
-0.34054035,-0.6543646
-0.3402484,-0.5968308
-0.32746062,-0.5394801
-0.3273235,-0.48330063
-0.32632306,-0.42751887
-0.34229428,-0.66822064
-0.34138379,-0.6120844
-0.32936472,-0.5530895
-0.32832834,-0.49693853
-0.32614085,-0.44253466
