ax,ay
-1.9916447,-0.40258127
-2.006377,-0.28405702
-2.024991,-0.17333281
-1.675196,-0.7915333
-1.7157885,-0.66436064
-1.7573106,-0.545531
-1.7832931,-0.42444953
-1.8005611,-0.30844888
-1.8129238,-0.19533677
-1.4698093,-0.84031427
-1.5222468,-0.6886154
-1.5558978,-0.5673865
-1.6037503,-0.42575175
-1.6234607,-0.31270376
-1.639623,-0.17536266
-1.3017194,-0.843922
-1.3507973,-0.6961128
-1.4066842,-0.55503243
-1.4389148,-0.44077796
-1.4803315,-0.3069752
-1.1218035,-0.9483251
-1.1911063,-0.806583
-1.240861,-0.6636287
-1.2978413,-0.5271406
-1.3341678,-0.3912628
-1.3732985,-0.2658475
-1.0186502,-0.92530936
-1.0895863,-0.7874527
-1.1440754,-0.6222322
-1.1981378,-0.49231264
-1.2542768,-0.33694133
-1.2835861,-0.21351828
-0.94028646,-0.89664364
-1.0161345,-0.73709804
-1.0649952,-0.60584843
-1.1288482,-0.45205233
-1.1695896,-0.29817918
-0.8209914,-0.9830004
-0.90055925,-0.82789266
-0.97292095,-0.6756747
-1.0236733,-0.5216718
-1.0827624,-0.37587923
-1.1391107,-0.23694144
-0.78624964,-0.9380052
-0.8510228,-0.78501946
-0.92678857,-0.6090503
-0.9929015,-0.4668329
-1.0496869,-0.3299923
-1.1022656,-0.16969912
-0.74104947,-0.88256633
-0.8222521,-0.7101977
-0.88980937,-0.5717722
-0.95909584,-0.4055687
-1.014507,-0.27750272
-1.0648183,-0.12469546
-0.71318525,-0.855671
-0.7935204,-0.68997496
-0.8651394,-0.5272225
-0.9333949,-0.36879948
-0.99262553,-0.21786863
-0.62856406,-0.9471915
-0.7135657,-0.78539675
-0.78583944,-0.62709993
-0.8661272,-0.43956643
-0.9267007,-0.29176196
-0.9828339,-0.14891876
-0.621699,-0.86440116
-0.70096385,-0.7098471
-0.7776522,-0.55655473
-0.8467916,-0.4089563
-0.91105574,-0.23585781
-0.97909516,-0.10609076
-0.61015487,-0.83442557
-0.6944936,-0.65453804
-0.7712469,-0.5079271
-0.8389482,-0.33664235
-0.911865,-0.20887162
-0.96550155,-0.05068854
-0.59480906,-0.78980523
-0.68044597,-0.6151107
-0.76648283,-0.45243102
-0.8289413,-0.31814653
-0.89444286,-0.15933509
-0.51673484,-0.8936298
-0.6119362,-0.72974557
-0.6926651,-0.56254315
-0.77788603,-0.4052742
-0.8400969,-0.24815564
-0.8991371,-0.097582
-0.53345615,-0.8487834
-0.6159364,-0.65490055
