ax,ay
-2.856365,1.043814
-2.843327,1.0829474
-2.8397675,1.1223415
-2.855726,0.9369116
-2.842516,0.9750005
-2.8389106,1.0139412
-2.8256466,1.0488248
-2.8088622,1.0865101
-2.788663,1.1259819
-2.8155818,0.93595654
-2.7933857,0.99011767
-2.772572,1.0290316
-2.759984,1.0816599
-2.7393622,1.1164995
-2.716061,1.1636146
-2.7438931,0.96978486
-2.7209392,1.0169712
-2.7082026,1.0651
-2.6879199,1.0943735
-2.6749566,1.138966
-2.6286445,0.9576122
-2.6199408,1.0006002
-2.5980115,1.0397003
-2.5897152,1.0790756
-2.5673082,1.1157676
-2.5568373,1.1532134
-2.451126,0.96422404
-2.4443827,0.9995048
-2.422391,1.0458122
-2.4144094,1.0785257
-2.4082081,1.1232113
-2.251599,0.91874254
-2.2494185,0.96321434
-2.2478106,1.0054064
-2.2227173,1.0303084
-2.2215579,1.0690436
-2.1980767,1.1049707
-2.0453403,0.911431
-2.0470119,0.9482403
-2.0479293,0.983926
-2.0250242,1.0164893
-2.0254152,1.049087
-1.8617963,0.8375115
-1.8672551,0.87519646
-1.848592,0.9113498
-1.8541992,0.955146
-1.8588312,0.9827254
-1.8616061,1.0096836
-1.6895319,0.7997182
-1.6737444,0.8336483
-1.6836803,0.88003
-1.6896623,0.9076605
-1.698856,0.9439734
-1.5152476,0.7021423
-1.5282857,0.7466864
-1.5388557,0.7735427
-1.551389,0.8150671
-1.5617205,0.85582906
-1.5737268,0.89321566
-1.3812364,0.63901716
-1.397198,0.67868406
-1.413614,0.7164904
-1.4249039,0.75490594
-1.4437791,0.80535424
-1.2436289,0.546473
-1.2624472,0.5828457
-1.2831291,0.6340791
-1.2994065,0.66814435
-1.3162261,0.70048296
-1.3319398,0.7318459
-1.1267833,0.48555776
-1.1519102,0.5331736
-1.1964343,0.56270814
-1.216886,0.60906106
-1.2358687,0.6371028
-1.0275044,0.3868412
-1.0502406,0.43372726
-1.0987474,0.45995286
-1.1197885,0.5044899
-1.142539,0.5466408
-1.1880454,0.5867547
-0.9694191,0.31813744
-0.99407446,0.36114818
-1.0203906,0.40187228
-1.0685431,0.44117263
-0.85267067,0.1852542
-0.88068765,0.22663593
-0.9339407,0.26538533
-0.957039,0.30576706
-1.0083328,0.34221262
-1.0288146,0.3981829
-0.8047719,0.14122319
-0.86304444,0.17614822
-0.886468,0.21463862
-0.93862003,0.26670912
-0.9604666,0.30270365
-0.7675143,0.050155364
-0.7884482,0.078404814
-0.84409046,0.12910889
-0.8659729,0.16504404
