ax,ay
-3.2000756,1.7819047
-3.2116396,1.7639546
-3.2238424,1.743142
-3.1428745,1.8174955
-3.1555977,1.7985449
-3.1641765,1.7815742
-3.1729858,1.7645856
-3.1806853,1.7488928
-3.1854463,1.7276059
-3.0883803,1.7650354
-3.0980499,1.7797309
-3.109476,1.7800032
-3.1137142,1.7648964
-3.1188364,1.7394596
-3.1179862,1.7192072
-3.0154517,1.7014685
-3.026527,1.716862
-3.0370686,1.7264756
-3.040136,1.7167121
-3.0395832,1.7133461
-2.6774096,1.5032244
-2.7115638,1.520036
-2.7259812,1.5444524
-2.749938,1.5524833
-2.7518923,1.5680872
-2.761336,1.5691872
-2.2295978,1.2634038
-2.2877328,1.268808
-2.3142748,1.3047278
-2.352819,1.3026757
-2.3895009,1.3243929
-1.7702757,0.9763692
-1.8564061,1.0077608
-1.936404,1.0346239
-1.9832602,1.0457941
-2.045448,1.0702889
-2.088615,1.1012819
-1.443011,0.75770885
-1.5574083,0.78738225
-1.6504383,0.8163396
-1.718204,0.8521948
-1.800154,0.875703
-1.1195344,0.52293056
-1.2626902,0.55490416
-1.365522,0.5956432
-1.4738963,0.64958555
-1.5739584,0.6763449
-0.87653106,0.31470725
-1.0330383,0.3760864
-1.1580021,0.41751456
-1.2856028,0.47234362
-1.3966411,0.49946168
-1.5054171,0.5458693
-0.80516875,0.18161783
-0.96465904,0.24048924
-1.1099066,0.2697593
-1.2393003,0.3245217
-1.3570935,0.37200728
-0.65020746,0.029681854
-0.824622,0.06215686
-0.976294,0.12014845
-1.11961,0.17501599
-1.2436286,0.22246204
-1.3676965,0.29327306
-0.6531168,-0.075953774
-0.8256429,-0.020160206
-0.97976184,0.06074796
-1.1156697,0.109276846
-1.246176,0.15262507
-0.5319495,-0.1945126
-0.7089589,-0.1376585
-0.8765914,-0.057403497
-1.0355681,-0.01915762
-1.1720352,0.05039002
-0.44961476,-0.32480213
-0.64091545,-0.24220085
-0.8046977,-0.16356641
-0.974735,-0.12573104
-1.1136025,-0.057480134
-1.2364703,0.008382487
-0.52673304,-0.34128255
-0.7151113,-0.2995623
-0.8746939,-0.22690617
-1.0186118,-0.15794262
-1.164391,-0.098783076
-0.45361033,-0.4531327
-0.63321066,-0.37421772
-0.81606466,-0.31210747
-0.95638746,-0.24436736
-1.1124375,-0.18653193
-0.39776492,-0.5184559
-0.57744706,-0.44370955
-0.7669223,-0.38091925
-0.9082425,-0.315455
-1.0616049,-0.23401448
-0.34947744,-0.59373957
-0.5571288,-0.52711594
-0.7176178,-0.45867792
-0.8870412,-0.37552866
-1.0140927,-0.31347013
-1.1608528,-0.23506027
-0.45041186,-0.5969228
-0.6424493,-0.51218057
-0.8167903,-0.45660496
-0.9505235,-0.37036207
-1.0959904,-0.2941027
-1.2313398,-0.24484366
-0.51849633,-0.5883395
-0.7005312,-0.5319905
-0.8680707,-0.45335758
-0.9976193,-0.3720838
-0.30983734,-0.7168979
-0.5058251,-0.6612912
-0.68371993,-0.5814451
-0.8295058,-0.49863854
-0.9836788,-0.42344427
-0.29586518,-0.7729265
-0.48518884,-0.6922766
-0.6415737,-0.6085875
-0.81604016,-0.5342136
-0.9658826,-0.4613723
-1.102996,-0.39190874
-0.40892744,-0.74774235
-0.59766656,-0.6717956
-0.76084924,-0.5972832
-0.91835886,-0.5004395
-1.0585619,-0.43069184
-1.1861031,-0.3644265
-0.46702173,-0.7219844
-0.6677292,-0.65502435
-0.82575786,-0.5577544
-0.969562,-0.48949453
-1.1021726,-0.39899912
-0.4114749,-0.79020727
-0.5864087,-0.6915017
-0.756011,-0.6232233
-0.90299374,-0.53090984
-0.21097791,-0.8910317
-0.39967704,-0.8184569
-0.5818857,-0.72372806
-0.7394952,-0.6304678
-0.9149662,-0.54650474
-1.0391773,-0.48383805
-0.3479828,-0.85232437
-0.52818096,-0.75745046
-0.6941497,-0.6658006
-0.86380786,-0.58383924
-0.99266857,-0.52058405
-1.1231753,-0.44614032
-0.42833716,-0.813043
-0.6143958,-0.7269571
-0.7683946,-0.63771707
-0.932844,-0.5581008
-1.0324063,-0.47838464
-0.3694483,-0.85261726
-0.53375614,-0.76204276
-0.7167041,-0.68042946
-0.8479259,-0.5956968
-0.98420453,-0.5219553
-0.31701684,-0.8978732
-0.49216384,-0.78369963
-0.6741236,-0.70175654
-0.82911164,-0.62423915
-0.14892688,-1.0004388
-1.1043822,-0.46343786
-0.46907863,-0.8169686
-0.65195876,-0.73650986
-0.7751088,-0.6559247
-0.9069403,-0.557958
-1.0336485,-0.4887133
-0.39238164,-0.8697422
-0.5566347,-0.78424114
-0.7073797,-0.6840045
-0.84262353,-0.6127643
-0.9681683,-0.51851046
-0.33432814,-0.9017109
-0.51768386,-0.82170904
-0.6743127,-0.72224915
-0.7794316,-0.62274337
-0.9079911,-0.55189633
-1.0208778,-0.457991
-0.40937322,-0.8478392
-0.5685873,-0.7508193
-0.7075869,-0.6814131
-0.8419466,-0.5835129
-0.959438,-0.51544344
-0.3518892,-0.8813392
-0.507126,-0.787857
-0.65105546,-0.70834094
-0.7763535,-0.6193648
-0.9313245,-0.53588605
-0.32724994,-0.91909474
-0.47581273,-0.834002
