ax,ay
0.65256333,0.16483933
0.6301144,0.1700961
0.60433614,0.17547975
0.5900656,0.13735548
0.5682151,0.14409134
0.5406546,0.148002
0.51367444,0.14700763
0.49364853,0.14518607
0.4847327,0.14707036
0.45387805,0.10267657
0.4399868,0.10416697
0.4328616,0.10652121
0.42796698,0.111662365
0.42638335,0.114634946
0.43189958,0.121415585
0.37270898,0.065821186
0.37613988,0.06936636
0.37664163,0.07728631
0.37714192,0.08758206
0.38249627,0.1137628
0.39169744,0.14411652
0.32783508,0.060758743
0.33421403,0.08905513
0.34222707,0.11794643
0.35327393,0.1485131
0.36452717,0.17875455
0.37839553,0.21132296
0.30332103,0.11875959
0.31448218,0.15271096
0.32754546,0.17621446
0.33367106,0.19551536
0.33749336,0.21159784
0.34109187,0.22981015
0.27924168,0.15638602
0.28223565,0.17175023
0.28522274,0.18895517
0.2887074,0.20642883
0.28990155,0.22482145
0.29086873,0.23390827
0.22886308,0.17393567
0.22992435,0.19341908
0.23121959,0.21149832
0.23196222,0.22260614
0.23285805,0.23247191
0.23385723,0.24123234
0.23609547,0.25498015
0.17264065,0.21342155
0.17401467,0.2247232
0.17544462,0.23810068
0.17671739,0.25156933
0.17934512,0.2643419
0.18180346,0.27472374
0.11306545,0.22837251
0.11599456,0.23882374
0.11973993,0.2513643
0.122375734,0.26392788
0.1248369,0.27634668
0.12760411,0.2888162
0.12946764,0.29880488
0.057875797,0.23835824
0.061254185,0.250459
0.06404395,0.26257527
0.06675011,0.2723221
0.06849287,0.28157833
0.07004099,0.2910294
0.07133565,0.30256683
-0.0010484457,0.23840337
0.0009381771,0.2475367
0.0032640093,0.25849324
0.0048300005,0.26726165
0.007381997,0.27842432
0.0086325575,0.28513464
0.0107481815,0.2959414
-0.06448926,0.23097466
-0.06243628,0.24174006
-0.060678057,0.25206447
-0.05957038,0.25851122
-0.05788977,0.26877972
-0.05631307,0.27914655
-0.055382885,0.287345
-0.13008173,0.22159782
-0.12886313,0.23150979
-0.1277433,0.24152644
-0.12680809,0.24941345
-0.12606926,0.2591097
-0.12519036,0.2669656
-0.12437154,0.27638188
-0.1283535,0.2859209
-0.1982546,0.2198046
-0.19711906,0.23107393
-0.19707018,0.23844898
-0.19629803,0.24771343
-0.19961642,0.2548351
-0.2044769,0.26605636
-0.20886326,0.27317443
-0.21361625,0.28183138
-0.26973218,0.21689864
-0.27214724,0.22557247
-0.27686203,0.23445442
-0.28182107,0.24285641
-0.28699145,0.25171426
-0.29169086,0.25817856
-0.29709452,0.26846713
-0.3019909,0.27583757
-0.30630586,0.2800779
-0.31062117,0.28584176
-0.36581758,0.22531101
-0.37125805,0.23357348
-0.37657446,0.24342838
-0.38222706,0.25143984
-0.3877532,0.25894606
-0.39276698,0.26418817
-0.39738968,0.26959738
-0.40235755,0.27488637
-0.40794384,0.27983895
-0.4639713,0.22334838
-0.46983176,0.23084718
-0.47564468,0.24081258
-0.48138753,0.24569245
-0.48653653,0.2505791
-0.4917507,0.2555685
-0.49757263,0.260229
-0.50310504,0.26664564
-0.5088614,0.27137232
-0.51448977,0.27606207
-0.5205586,0.2822214
-0.57762283,0.2291156
-0.58386666,0.23514374
-0.58987063,0.23955745
-0.5958501,0.24551989
-0.601775,0.25001267
-0.60794467,0.25583994
-0.61432725,0.25998348
-0.62092155,0.26394206
-0.6275333,0.26748735
-0.6836287,0.21649222
-0.69045246,0.2219717
-0.6472909,0.2810755
-0.65425515,0.28438678
-0.7103721,0.23536271
-0.66839004,0.292599
-0.72410274,0.2454769
-0.73104984,0.24862987
-0.7383601,0.25183213
-0.7452021,0.2550806
-0.75234056,0.2596879
-0.7600474,0.2640033
-0.7673501,0.26705825
-0.82245255,0.21820894
-0.7823977,0.27443153
-0.8373868,0.2253807
-0.7980036,0.28141397
-0.852794,0.23248379
-0.81363064,0.288414
-0.82205147,0.29232413
-0.8299205,0.29645872
-0.838354,0.29885852
-0.8463668,0.3014575
-0.8546581,0.30542487
-0.86318386,0.30916503
-0.9172712,0.26010886
-0.92574394,0.26380453
-0.9338047,0.2662505
-0.9425273,0.26984295
-0.9514087,0.27193174
-1.0045885,0.22275205
-0.96896875,0.2791198
-0.9777961,0.28114328
-0.98657537,0.28460005
-0.995508,0.28655732
-1.0048323,0.28986463
-1.0138658,0.29175726
-1.0235356,0.2962524
-1.0326679,0.29808316
