ax,ay
-0.46156102,0.25262764
-0.46601635,0.26070765
-0.46389014,0.26846012
-0.45300612,0.24817708
-0.45586088,0.2557906
-0.4554781,0.26406288
-0.4591171,0.27296773
-0.46274334,0.281584
-0.46641737,0.29060623
-0.45530415,0.27084708
-0.45654732,0.27653575
-0.4596899,0.2854136
-0.4604995,0.29397368
-0.464038,0.3030771
-0.46849832,0.311209
-0.45957655,0.2925185
-0.46014202,0.29700714
-0.4597378,0.3054877
-0.46272478,0.31534743
-0.46228015,0.3237562
-0.46403125,0.30858898
-0.4600768,0.31265768
-0.4588939,0.31645206
-0.45732644,0.32424194
-0.45852417,0.3317418
-0.45736858,0.3397777
-0.459797,0.3256514
-0.45565638,0.3303266
-0.4555248,0.333504
-0.452625,0.3396568
-0.4528609,0.3484695
-0.45378074,0.35615394
-0.45202655,0.34435776
-0.4508824,0.34693798
-0.44964036,0.35162392
-0.4470996,0.3567757
-0.44906202,0.36445138
-0.44704506,0.36044392
-0.44572327,0.363505
-0.44456154,0.36654162
-0.44575885,0.3691782
-0.44288695,0.37346926
-0.4426548,0.38241678
-0.43811506,0.38015246
-0.4393177,0.38357005
-0.43940458,0.38557053
-0.43804824,0.38955146
-0.43648896,0.39333856
-0.43275535,0.39568052
-0.4337731,0.39969456
-0.43367657,0.40230176
-0.4320934,0.40629092
-0.43200928,0.40930614
-0.4304387,0.41370624
-0.42591777,0.41570133
-0.4239982,0.42036182
-0.42390087,0.4236346
-0.4236068,0.42672092
-0.42352816,0.43041164
-0.4157966,0.4315422
-0.41650632,0.4368624
-0.41643214,0.4412238
-0.41594076,0.44441622
-0.41736776,0.4474339
-0.41726747,0.45123664
-0.4041933,0.4420833
-0.4068408,0.44789493
-0.40725696,0.45346743
-0.40744808,0.45931104
-0.40781024,0.46516892
-0.39304227,0.44797826
-0.3954374,0.45426056
-0.3921368,0.45804495
-0.39451256,0.46418637
-0.39463025,0.4705455
-0.39698294,0.47653562
-0.381797,0.459254
-0.37825578,0.46356654
-0.38042355,0.46979833
-0.38273868,0.476495
-0.381762,0.48094785
-0.36358604,0.4639544
-0.3653793,0.4696943
-0.36768997,0.47667974
-0.3663384,0.48124155
-0.36863688,0.48811257
-0.36724642,0.49300918
-0.35109606,0.47630873
-0.3528645,0.48221454
-0.35129768,0.4873982
-0.3554781,0.4940621
-0.35427344,0.49932852
-0.33862948,0.48488456
-0.33948845,0.4894603
-0.3398361,0.49392673
-0.34177533,0.501187
-0.34002408,0.50649035
-0.3254016,0.49431542
-0.32496715,0.49749714
-0.32586136,0.50241685
-0.32612613,0.5074878
-0.32420832,0.51305896
-0.32838988,0.52075565
-0.30968112,0.50653887
-0.31260285,0.5115256
-0.3120391,0.51498747
