ax,ay
-2.972978,-0.68245363
-3.0948298,-0.20859268
-2.8315694,-0.68509775
2.0641944,3.8480356
0.05322047,2.9455082
-1.1354557,0.13760154
-2.1667058,-0.32759926
-2.5970435,-0.24425964
-2.614397,-0.2316796
2.771876,3.6154127
0.6888685,1.7470388
-1.1828984,-0.24965635
-2.2853007,-1.0188289
-2.681504,-0.85256565
-2.7382283,-0.60511774
2.8955708,3.3116734
0.82128143,0.84779114
-1.4716853,-0.9150123
-2.3210282,-1.1406803
-2.7920573,-1.3194646
2.9065046,3.5652204
0.9162744,0.6601692
-1.160265,-1.205478
-2.2977011,-1.8297013
-2.7072277,-1.5489883
-2.9719014,-1.4969969
2.888486,3.3393164
0.79391307,0.008246052
-1.3783989,-1.0749805
-2.3516932,-1.6203783
-2.821339,-1.6647371
2.884314,3.5297875
0.8687484,0.8307622
-1.1960086,-1.7562307
-2.1931171,-1.8803458
-2.743172,-1.9568532
-2.9777684,-1.4357746
2.8537064,3.321522
0.7874015,0.055705402
-1.4315865,-1.6322895
-2.2992592,-1.5969796
-2.7749836,-1.6435083
-2.9709244,-1.5433303
2.9775023,2.8294601
0.8165937,0.29950497
-1.4876975,-1.1937393
-2.3787928,-1.5817664
-2.7874155,-1.5705206
2.9874587,3.3005707
0.9706635,1.0110673
-1.1588804,-1.3911799
-2.2219496,-1.8383584
-2.7426388,-1.8078008
-2.9742894,-1.6219094
2.964083,3.0687602
0.8594599,-0.15379032
-1.451853,-1.5574095
-2.371293,-1.8032705
-2.794368,-1.697063
-2.8667622,-1.5386671
3.060844,2.699025
0.7185177,0.088052474
-1.4573232,-1.2627107
-2.4080596,-1.4937309
-2.7605999,-1.3262986
3.112042,3.208453
1.1248413,0.2633705
-1.218793,-1.362472
-2.2633247,-1.7142335
-2.700999,-1.6084458
-2.9587872,-1.2491596
3.0253556,3.151667
0.88678944,0.004682181
-1.4266398,-1.3273782
-2.3298771,-1.5930849
-2.7395325,-1.3615745
3.0602355,3.4357076
1.143059,0.123693235
-1.1880713,-1.5903715
-2.2618,-1.8262868
-2.7355547,-1.9512725
-2.9634933,-1.6397159
3.035673,3.0460036
0.95980495,0.21130769
-1.401183,-1.5252082
-2.3004057,-1.645869
-2.7665644,-1.78712
-2.9274695,-1.3920224
3.1000168,2.9575598
0.8266762,0.08931356
-1.3984263,-1.0600095
-2.320117,-1.5906107
-2.7387283,-1.3546889
3.1375582,3.3179011
1.2105851,0.16470948
-1.1645905,-1.2762859
-2.257246,-1.861551
-2.744748,-1.8881292
-2.943357,-1.429532
3.0995853,3.1281366
0.9583596,0.21517003
-1.3881352,-1.4909574
-2.2823806,-1.4830801
-2.725658,-1.4960725
3.0973198,3.376329
1.1454333,0.5412266
-1.1169815,-1.6841697
-2.2595582,-2.1133285
-2.67323,-1.7333457
-2.945439,-1.5691394
3.0586426,3.1589468
1.0266237,0.19572933
-1.3403012,-1.4106281
-2.2786703,-1.7456813
-2.7373908,-1.7287717
-2.9173882,-1.5673033
3.1457558,2.8587327
0.96380115,0.31060043
-1.3291457,-1.2439523
-2.3478358,-1.5728053
-2.7074044,-1.4608932
3.163883,3.2101061
1.2793547,0.3545247
-1.1627502,-1.356922
-2.2042947,-1.7477432
-2.6390898,-1.6654892
-2.9087336,-1.3633391
3.094749,2.7554495
0.90740913,0.13509533
-1.3191875,-1.3102055
-2.219069,-1.5952059
-2.6643858,-1.4297941
3.11575,3.1516032
1.1384827,0.36144686
-1.1055931,-1.4638332
-2.1210551,-1.7796141
-2.6763573,-2.0040603
-2.8735125,-1.6781439
3.0669298,2.6770988
0.9624873,0.006818407
-1.3171091,-1.3225913
-2.1996527,-1.5673069
-2.6701033,-1.7242037
-2.8876176,-1.3155698
3.1242232,2.6768951
0.9514807,0.44270295
-1.2157574,-0.9762031
-2.2512257,-1.6080796
-2.6417546,-1.3456193
3.1488066,3.0056384
1.2316272,0.52642226
-1.1460632,-1.5328901
-2.1323404,-1.6886778
-2.6392262,-1.8347838
-2.81786,-1.336052
3.1041949,2.8112135
0.9378717,-0.016993778
-1.2421858,-1.2225598
-2.199206,-1.706651
-2.619008,-1.3329102
-2.8554149,-1.266729
3.17016,2.5834353
0.8798024,0.14726144
-1.2340707,-1.0226644
-2.2027023,-1.4390908
-2.6312633,-1.5161258
3.1961074,3.0930939
1.2307385,0.20191576
-1.1559207,-1.412755
-2.125076,-1.837638
-2.5412033,-1.5204933
-2.801484,-1.3153256
3.1357603,2.6778347
0.91620666,0.24351783
-1.2445877,-1.2940562
-2.1423092,-1.6792914
-2.5952625,-1.6164583
-2.7862585,-0.9613784
3.1686661,2.7360349
0.9696447,0.52958155
-1.189275,-0.9296377
-2.1605415,-1.3129469
-2.5494232,-1.2922192
3.2158484,2.6790915
1.1440876,0.16306716
-1.1339105,-1.3110269
-2.1241663,-1.6213909
-2.5347133,-1.5520095
-2.7281623,-1.2353095
3.1404307,2.578772
0.85770863,-0.06113661
-1.2534881,-1.3507767
-2.1357965,-1.5898372
-2.5457678,-1.4371817
3.166549,2.763395
1.2095038,0.19269334
-1.1552682,-1.6675104
-2.1154685,-1.8779197
-2.5342603,-1.7075034
-2.7215762,-1.3119079
3.096998,2.6760623
0.8633409,-0.02246535
-1.2313596,-1.252307
-2.0709777,-1.4058083
-2.5045214,-1.5743908
-2.702358,-1.2187238
3.1036978,2.5902693
0.848879,0.17621322
-1.1585144,-1.0011832
-2.0321403,-1.1729103
-2.4887254,-1.3687837
3.1701283,2.5398624
1.1331036,0.35303915
-1.094804,-1.3597821
-1.9799364,-1.4649336
-2.4632416,-1.6127994
-2.674288,-1.1596603
3.0606325,2.3232229
0.85870486,0.29817066
-1.2061315,-1.2345145
-2.0239754,-1.2817901
-2.4615536,-1.3827827
3.105544,2.8050714
1.0669672,-0.036296684
-1.0746607,-1.5434577
-1.9792588,-1.5776049
-2.4165304,-1.6263853
-2.6855574,-1.5268962
3.027664,2.4115472
0.84368086,0.06096666
-1.1908787,-1.3506187
-1.9705763,-1.2973715
-2.4143405,-1.3481588
-2.6380696,-1.1714183
3.0251098,2.5494392
0.84431237,0.38894692
-1.1606562,-1.0344656
-2.0045826,-1.3732545
-2.390052,-1.3251915
3.1012306,2.5699272
1.0564038,0.14481995
-1.0682985,-1.3088652
-1.9465241,-1.6116045
-2.3704376,-1.546063
-2.584678,-1.3108431
3.0228071,2.4614103
0.80710965,0.30362657
-1.0859185,-0.97121125
-1.9637661,-1.2940147
-2.4095106,-1.593434
3.030516,2.368519
1.013249,0.008422482
-1.0447277,-1.3030673
-1.9332188,-1.5680443
-2.3352106,-1.4442858
-2.594992,-1.5377333
2.9643943,2.2975492
0.7858723,0.21820617
-1.1009843,-0.9875025
-1.9847682,-1.6012323
-2.3486688,-1.4126586
-2.5054686,-1.0182194
2.9304059,2.2957253
0.791075,0.29048675
-1.0835396,-0.87523526
-1.935264,-1.4508446
-2.2854786,-1.2212312
3.0037775,2.0747557
0.88149846,-0.021366274
-0.981462,-1.1109594
-1.9167205,-1.6718074
-2.2666492,-1.4176716
-2.4356716,-0.9808542
2.8793411,2.2440522
0.8309893,0.3894221
-1.1323028,-1.1642181
-1.8594573,-1.2032015
-2.2669153,-1.3469524
-2.438617,-0.89823186
2.8809252,2.330138
0.6819403,0.04723818
-1.0749279,-0.90957254
-1.8760693,-1.3642492
-2.1794274,-1.0110558
2.968482,2.1549816
0.8874786,0.23902003
-1.0112737,-1.1915613
-1.8786213,-1.6283511
-2.1681952,-1.2286727
-2.379478,-1.1345664
2.803591,2.0807993
0.7287893,0.31708816
-1.0960783,-1.0516665
-1.8402393,-1.3828772
-2.151679,-0.9947248
2.902973,2.2378864
0.79083216,-0.12529361
-1.0681084,-1.3986272
-1.8336877,-1.6804453
-2.1435502,-1.2482153
-2.3252878,-1.0757989
2.794457,2.1158412
0.6181827,-0.04815048
-1.1123033,-1.2213622
-1.8237779,-1.4605407
-2.0685146,-0.94264585
-2.2886863,-0.8204199
2.7668693,2.2494838
0.6104832,0.19643003
-1.028207,-0.9261036
-1.7543782,-1.1951456
-2.0833051,-1.106737
2.7874358,1.9217309
0.677914,-0.17843544
-0.96152675,-1.2202492
-1.753752,-1.4678179
-2.094341,-1.346219
2.7698815,1.8432217
0.69879174,-0.32766035
-1.0286216,-1.3784758
-1.7159312,-1.5076348
-2.091825,-1.3852378
-2.215208,-1.053305
2.6472857,1.9798989
0.5942778,0.06953266
-1.0017138,-0.94636226
-1.7014546,-1.1141459
-2.0960793,-1.3653253
2.6500816,1.782357
0.6406701,-0.26955733
-0.98478234,-1.2249002
-1.6637168,-1.3252001
-1.9667244,-1.109812
-2.2200584,-1.2210358
2.553608,1.7829072
0.53533137,-0.018642649
-0.9956384,-0.9035378
-1.6880281,-1.3776273
-1.9703935,-1.1211748
-2.136417,-0.76773465
2.5862925,2.1312904
0.46662018,-0.089453444
-0.98316336,-0.8880823
-1.6147377,-0.9389264
-1.9507922,-1.1011041
2.599927,1.7385097
0.596107,-0.014019312
-1.0173084,-1.2953317
-1.6106094,-1.2578316
-1.8732846,-0.94479465
2.5077343,1.6074001
0.47189525,-0.042437274
-0.9432922,-0.7498426
-1.5188316,-1.4240286
-1.8741592,-1.1666216
-2.0888975,-1.1453741
-2.086403,-0.5533279
2.3784533,1.7744505
0.39336213,0.18184148
-0.9931215,-0.8928709
