ax,ay
3.104284,-2.7929616
3.785432,-3.82421
3.9378555,-3.9570894
-3.8161623,3.9276414
-3.3985217,3.6456032
-1.1906719,1.052523
2.0211785,-2.847984
3.5414703,-3.8238766
3.9090405,-3.922528
-3.9097838,3.9291773
-3.6558874,3.5887213
-2.2508366,1.0709201
1.2657748,-3.0224118
3.7025812,-3.8559723
3.85013,-3.8979113
-3.9542913,3.918726
-3.732204,3.405482
-2.1664548,0.08165298
1.531344,-3.1970298
3.567567,-3.8278623
-3.9173596,3.925204
-3.8946295,3.8450384
-3.3807294,2.7643378
-0.5405538,-1.5144607
2.658868,-3.5906744
3.6347694,-3.8757439
-3.937026,3.9224622
-3.8495371,3.7115715
-3.110297,2.079695
0.43382612,-2.3745568
3.315682,-3.8250036
3.6088192,-3.8823402
-3.964072,3.915642
-3.7642498,3.3950036
-2.6424246,0.87784487
1.1332974,-3.056037
3.3719144,-3.8438485
-3.934481,3.9255087
-3.912598,3.8721313
-3.2702217,2.8721066
-1.0828675,-0.72931045
2.5793474,-3.5234284
3.465068,-3.900805
-3.944626,3.9263477
-3.8465123,3.772453
-2.8107734,2.0495718
0.52122283,-2.0288599
2.9524558,-3.7404292
3.4159296,-3.9138806
-3.9542656,3.9142504
-3.7664704,3.5277417
-2.4404633,1.0882396
1.1633692,-2.841789
3.0343451,-3.8490028
-3.9354649,3.9269938
-3.8769455,3.8622444
-3.1133125,2.8875303
-0.16034018,-0.9045087
2.5799625,-3.4523249
3.2999904,-3.9041984
-3.9371994,3.9220023
-3.778924,3.7171164
-2.4860184,1.9538186
0.83499116,-2.037395
2.8130772,-3.6808164
-3.9205575,3.9293454
-3.9268372,3.915224
-3.3893878,3.3653805
-1.2338588,0.61316955
1.9084047,-2.731033
3.3474772,-3.8031223
-3.9350173,3.920109
-3.775252,3.8171425
-2.6413622,2.626815
0.22398478,-0.82214576
2.810203,-3.3360658
-3.9136055,3.917157
-3.9100342,3.9177432
-3.393143,3.5292966
-1.4532427,1.3671393
2.1912365,-2.4025536
3.502987,-3.6943543
-3.8426468,3.9131694
-3.7331674,3.878385
-2.7150629,3.0514271
-0.124260485,0.17923053
2.9171782,-3.0128179
3.6171148,-3.8269336
-3.7494757,3.910308
-3.610484,3.7781432
-1.856576,2.4256318
1.4423995,-1.1270782
2.9595437,-3.3780022
-3.3306253,3.9091504
-3.382018,3.9071712
-2.1797495,3.5992458
0.3900147,1.6209285
1.9816203,-2.2572095
-2.5692523,3.9039354
-2.0098915,3.8683228
-2.0271194,3.8309326
-0.48133326,3.2869227
1.2640901,1.2225144
2.3042104,-2.3063884
-1.3054968,3.7764328
-1.2735078,3.7310128
-0.9391144,3.599261
0.1362102,2.443027
0.44261995,-0.29686505
-0.011338203,3.6848934
0.64046335,3.4606082
0.5678043,3.243578
0.46392253,2.9605215
0.6193728,0.8265196
1.8010199,3.0761468
1.6686218,2.6163967
1.4564654,2.0175955
1.1261775,0.93082243
0.9299937,-0.3931319
1.9560359,1.4540261
1.4397601,-0.16058679
1.1718962,-1.4842036
0.7589676,-2.4067225
0.078217074,-2.9755814
-1.3190992,-3.5452738
-0.5417517,-1.5889287
-0.7589106,-2.106718
-1.1190155,-2.5886953
-1.8604805,-3.0242083
-2.1005375,-3.1823573
-1.4117491,-0.25530514
-1.30141,-0.68242645
-1.3028568,-1.0702665
