ax,ay
-1.1247739,2.0969124
-0.8131703,1.5445288
-0.6743638,1.2611581
-0.5428664,1.1771861
-0.500379,1.313083
-0.37585756,1.3252019
-0.24587806,1.3101045
-0.16082625,1.1273912
-0.058266073,0.8558253
0.16744313,0.5980009
0.4521972,0.23722973
0.350811,-0.53799355
-0.02139836,-0.81650996
-0.031266417,-0.7640502
-0.12713504,-0.60837424
-0.12745519,-0.39227635
-0.13097227,-0.17218208
-0.16239668,-0.072024524
-0.12560903,-0.024818335
-0.105356276,-0.026307197
-0.10298603,-0.039243147
-0.19854851,0.044354275
-0.086452425,-0.023150256
-0.09638028,-0.035531808
-0.17874174,0.064153664
-0.09088302,-0.016081754
-0.16505788,0.061865937
-0.09417886,-0.009864614
-0.15977302,0.07246209
-0.098838896,-0.016301157
-0.1559624,0.09062237
-0.17496963,0.11917054
-0.1789429,0.1346297
-0.1792222,0.14228985
-0.18309145,0.14681524
-0.19530965,0.14272785
-0.22608162,0.16480641
-0.28492743,0.17148475
-0.4544906,0.1741047
-0.91039276,0.29780442
-0.9166854,0.44899005
-0.81467056,0.77475923
-0.5554788,0.94635385
-0.30804422,1.106418
-0.19719093,1.1856914
-0.22004992,1.1443611
-0.23520547,1.1261618
-0.23628174,1.1525316
-0.24305965,1.1690074
-0.2251116,1.1831042
-0.23101474,1.1968508
-0.22142215,1.2052166
-0.21177341,1.1904993
-0.19711587,1.1710626
-0.18525009,1.1210855
-0.17753135,1.040595
-0.18135582,0.98176646
-0.1654427,0.875298
-0.16846524,0.8141009
-0.15257363,0.68708277
-0.16078156,0.52741635
-0.15948282,0.37212038
-0.1624026,0.23934977
-0.13132451,0.29229012
-0.19497368,0.09832153
-0.15403616,0.062207777
-0.17279989,0.031441286
-0.15831727,0.020655867
-0.15788935,0.02011237
-0.16625822,0.015644597
-0.20043376,0.0073658666
-0.1434357,0.005374376
-0.160475,0.015536244
-0.14842989,0.019469468
-0.14562051,0.029038996
-0.12812921,0.015847968
-0.13183342,-0.0061331447
-0.118606254,-0.03578403
-0.14745748,-0.07129766
-0.17733927,-0.103738636
-0.13895924,-0.11728441
-0.19683795,-0.14623459
-0.20555824,-0.14852318
-0.20669012,-0.14738518
-0.21244112,-0.1449007
-0.28053528,-0.13275631
-0.15484782,-0.10823315
-0.26937845,-0.117633715
-0.22378004,-0.08667671
-0.17166874,-0.09407562
-0.22610593,-0.08399586
-0.18920611,-0.04207849
-0.19273424,-0.10119579
-0.18418407,-0.09318549
-0.15602858,-0.05640408
-0.17437164,-0.09723571
-0.14203593,-0.055091627
-0.14113742,-0.05462762
-0.14278704,-0.045115173
-0.13586847,-0.025369847
-0.15002608,-0.0539746
-0.14875402,-0.013654385
-0.15497239,-0.04364933
-0.20059474,-0.08868961
-0.21025823,-0.11176441
-0.22256824,-0.13080744
-0.2435804,-0.19226398
-0.26350275,-0.2362105
-0.2560408,-0.19811866
-0.24731155,-0.16828641
-0.28971487,-0.2102058
-0.2624224,-0.14522818
-0.3232174,-0.17408195
-0.31990245,-0.18297064
-0.23766688,-0.14091098
-0.23718876,-0.32438007
-0.16483359,-0.45621672
-0.13769774,-0.46792164
-0.103775404,-0.71882635
-0.15748434,-0.53840315
-0.0961933,-0.76177883
-0.1334002,-0.77672195
-0.16164482,-0.6929273
-0.3155567,-0.28189987
-0.30814806,-0.19746205
-0.3801548,-0.15571603
-0.38266984,-0.15312335
-0.53928924,0.12170655
-0.37653196,0.27623624
-0.103135794,0.35865858
0.15085179,0.0049409545
0.2341128,-0.18796937
0.18172006,-0.3408444
0.019448461,-0.40527576
-0.16136147,-0.18444584
-0.27918234,-0.013180405
-0.33808902,0.03669
-0.36412945,0.031987946
-0.43496147,0.27139327
-0.24350668,0.4469968
-0.042834684,0.18331012
0.101518944,0.027380947
0.24240868,-0.082847275
0.27632773,-0.41148648
0.13491717,-0.6985919
0.05024344,-0.6983843
-0.016958773,-0.49978226
-0.09285988,-0.17080604
-0.11702535,-0.015279558
-0.08347731,-0.021309473
-0.10606366,0.0126917
-0.06879536,-0.046446048
-0.049661666,-0.042968325
-0.061540656,-0.046425972
-0.052570336,-0.057308424
-0.0568559,-0.053120337
-0.066458255,-0.034932055
-0.050489433,-0.05601678
-0.07027931,-0.033987656
-0.043919854,-0.069680616
-0.0814534,-0.02052035
-0.03318322,-0.06818763
-0.083254986,-0.024174672
-0.11635896,0.034184314
0.0061220354,-0.077068076
-0.08958819,-0.015652224
0.0015992997,-0.10783412
-0.12690113,0.0029269813
0.015495743,-0.080315314
-0.11194775,0.003696646
-0.11983975,0.080456555
-0.06708188,0.08447991
0.09800563,-0.13064997
-0.11810963,-0.042979605
0.026653187,-0.10015475
-0.15823652,0.029280428
0.0805724,-0.081549644
-0.12056445,-0.0046294914
0.06996935,-0.09851171
-0.14309645,0.011123038
-0.11396021,0.14240031
0.0013245103,0.13428359
0.02202506,0.044698395
-0.054470085,0.06364213
-0.058012493,0.11392059
-0.010194355,0.10010427
-0.014994839,0.09078447
-0.022496324,0.09027335
-0.027875006,0.10636534
0.19128421,-0.17790975
-0.16298756,-0.020255744
0.10794152,-0.05526018
-0.099344306,0.037699662
0.15491733,-0.09692711
-0.104533605,0.023725681
-0.06853403,0.22879852
0.107462145,0.15424089
0.06390682,0.049156487
-0.015846875,0.10336944
0.005218467,0.17110644
0.06520993,0.15414283
0.06538627,0.098297045
0.01723654,0.13177414
0.043420512,0.16240714
0.062936015,0.15642926
0.06522782,0.1414762
0.04623135,0.17505501
0.074338645,0.17560118
0.07379545,0.18417454
0.08912601,0.166248
0.059779618,0.21283574
0.104571156,0.20924777
0.089627855,0.22388496
0.10452908,0.23284952
0.39957622,-0.024930287
0.099474944,0.060013387
0.36426798,0.13800485
0.16685429,0.14459828
0.4317621,0.20591103
0.27048114,0.20309193
0.20344098,0.35158223
0.2330323,0.4409952
0.24944977,0.5158805
0.24416502,0.6407867
0.66842633,0.7899367
0.61021,0.93729544
0.48031867,1.168431
0.12412897,1.4674791
-0.28989318,1.7647966
-0.42303273,1.9404632
-0.7861699,2.94645
-0.11368277,3.3539286
-1.0220252,3.3316836
-0.658555,3.481538
-1.2125422,3.1652522
-1.8031788,2.725731
-1.6603745,2.7461388
-2.4901028,2.197113
-2.436596,2.170192
-3.3061233,1.6902183
-3.2902539,1.6619451
-4.2267003,1.230391
-4.647876,0.97890425
-4.3954773,0.17100884
-3.97451,-0.14711273
-3.8647656,-0.19547525
-3.920977,-0.16839847
-3.5618248,0.048278052
